# REGISTER 1 — numeric-claims.tsv   FROZEN at HEAD 0cdd5b1
# Corpus: references/*.md (30) + reference-impl/*.md (11) + SKILL.md + index.md = 43 files, 20776 lines.
# Scan unit: one NUMERIC TOKEN = /(?<![\w.])[-+]?\d[\d_]*(\.\d+)?([eE][-+]?\d+)?/.
# One row per surviving token, NOT per claim: a range like '5-11 m' emits two rows sharing one claim_text.
# That is deliberate — merging ranges into one row is the step at which a claim can vanish unseen.
#
# DENOMINATOR
#   numeric tokens found in corpus ......... 13033
#   became rows ............................ 5152
#   excluded ............................... 7881
#   IDENTITY: 5152 rows + 7881 excluded = 13033 == tokens found  -> HOLDS
#
# EXCLUSIONS, every category counted (sums to 7881)
#   fenced_code            1304   inside a ``` fence — pseudocode constants, the domain of constant-pairs.tsv, not prose
#   chapter_xref           3066   backticked chapter pointer `NN` / `NN:LINE` / references/NN-*.md — a cross-reference, not a quantity
#   bibliographic          2803   citation locator: year after an author, vol(issue), vol:page, page range, pp., arXiv/patent/report id
#   okf_frontmatter         266   okf v0.2 metadata block (version, ISO timestamps, tags) between the leading --- pair
#   list_index              217   the ordinal of an ordered-list item, at the list-marker position only — other numbers on the line are still rows
#   heading_number           60   section number in a markdown heading (## 8. ...)
#   figure_panel_index       54   GALLERY.md panel grid coordinate cell (row,col)
#   url_doi_hash             45   digits inside a URL, DOI, domain path or a git commit hash
#   anchor_link              29   digits inside a markdown (#anchor-1984) target
#   math_display_block       19   literal inside a $$...$$ display-math expression
#   math_inline              18   literal inside a $...$ inline-math expression
#   SUM                    7881
#
# CLASS distribution: derived=3045, unclassified=1794, external=283, illustrative=30
# VERDICT distribution: unguarded=2649, guarded=1810, unreproducible=693
#
# CLASS rules, in cascade order (first match wins):
#   derived      value literal (distinctive) present in a reference-impl module or test; OR the line
#                names a backticked identifier that exists in module source; OR the token sits inside
#                an inline `code span` (a formula fragment the impl mirrors); OR the line is a
#                blockquote measured-output table row.
#   external     the line carries a citation marker (Author YEAR, et al., `99`, measured/empirical/USGS/SRTM).
#   illustrative the line carries a worked-example marker (e.g., for example, sims_illustrative, panel, demo).
#   unclassified no rule fired. THIS BUCKET IS REAL AND LARGE (1794). It is not 'clean'; it is 'undecided'.
#
# VERDICT rules (provisional — later waves may REASSIGN a verdict, never add or drop a row):
#   distinctive = token has a decimal point/exponent, or |int| > 10. Non-distinctive tokens (0..10)
#   match code literals by coincidence, so a literal match on them is NOT evidence.
#   guarded         distinctive AND the value appears as a literal in reference-impl/tests/test_*.py;
#                   source_or_guard names up to two test_file::function rows.
#   unguarded       distinctive AND in a module but no test; OR non-distinctive (marked
#                   'trivial-literal:no-evidence' — these are UNPROVEN, not proven-absent).
#   unreproducible  the value appears in no module and no test. For class=external with a citation
#                   this is expected and benign; for class=derived it is the alarming case.
#
# FREEZE RULE: this row list is final. A numeric claim discovered later that is not here goes to
# OPEN-ITEMS.md as a census-miss; it must NOT be appended to this file.

file	line	claim_text	value	class	source_or_guard	verdict
00-index.md	135	t & Rogers 1980 (Science 208); Talbot & Pohjola 2009, ESR 97 — flows only when wetted, arid-only (`11`) |	97	derived	module:halfar_anatomy.py	unguarded
00-index.md	136	| Mud volcano / mud diapir | P | Kopf 2002 (Rev. Geophys. 40); Mazzini & Etiope 2017, ESR 168 — gryphons/salses/mud fl	40	derived	inputs.py::two_basins;test_aeolian.py::_bump	guarded
00-index.md	136	Kopf 2002 (Rev. Geophys. 40); Mazzini & Etiope 2017, ESR 168 — gryphons/salses/mud flows (`11`) |	168	derived	module:anisotropy_anatomy.py,capability_grid.py	unguarded
00-index.md	146	P | Heimsath, Dietrich, Nishiizumi & Finkel 1997, Nature 388 — exponential decline with soil depth (`11`) |	388	derived	module:hex_anatomy.py	unguarded
00-index.md	147	| Tors | P | Linton 1955 (Geographical Journal 121); Palmer & Neilson 1962 — joint-controlled deep-weatherin	121	derived	test_benchmarks.py::test_glacier_sia_matches_halfar_similarity_solution;test_cited_paths_exist.py::<module>	guarded
00-index.md	149	oliation / sheeting joints & domes | P | Martel 2006 (GRL 33) — surface-parallel stress × curvature; Gilbert 1904; Bra	33	derived	inputs.py::two_basins;test_colour_scale.py::test_at_feature_scale_factor_one_is_the_plain_call	guarded
00-index.md	150	ssification & dimensions | P | Pike & Clow 1981, USGS OFR 81-1038 — shield/strato/cinder/caldera (`11`) |	81	derived	test_hex_grid.py::test_two_axis_blur_prints_sqrt3_and_three_axis_is_isotropic;test_landforms.py::test_complex_crater_has_central_peak	guarded
00-index.md	150	fication & dimensions | P | Pike & Clow 1981, USGS OFR 81-1038 — shield/strato/cinder/caldera (`11`) |	1038	external	cite:Clow 1981	unreproducible
00-index.md	164	| Dam-break flood wave | P | Ritter 1892 — dry-bed shallow-water, front at `2√(g·h₀)` (`20`) |	1892	unclassified	none	unreproducible
00-index.md	164	wave | P | Ritter 1892 — dry-bed shallow-water, front at `2√(g·h₀)` (`20`) |	2	derived	trivial-literal:no-evidence	unguarded
00-index.md	198	culation scouring gaps through the bar; quasi-rhythmic, O(100 m) (`12`) |	100	derived	inputs.py::spike;test_analysis.py::test_selectors_are_masks_in_unit_range	guarded
00-index.md	199	Tidal prism sets the throat area, `A_inlet = C_OB·P_tide^0.85` (`12`) |	0.85	derived	test_flow_anatomy.py::test_the_hillslope_statistic_is_a_claim_about_THIS_relief_only;test_landforms.py::test_volcano_has_summit_crater_and_concave_cone	guarded
00-index.md	239	nce Transforms of Sampled Functions*, Theory of Computing 8; also Danielsson 1980, Meijster 2000 |	8	external	trivial-literal:no-evidence	unguarded
00-index.md	254	| **Freeman 1991**, Computers & Geosciences 17(3) — `p = 1.1` |	1.1	derived	test_atom_coverage.py::<module>;test_flow_anatomy.py::test_the_conserved_total_is_blind_to_where_the_water_went	guarded
00-index.md	255	P | Quinn et al. 1991, Hydrological Processes 5(1) — `p = 1`. **Not the same as Freeman.** |	1	external	trivial-literal:no-evidence	unguarded
00-index.md	256	P | Barnes, Lehman & Mulla 2014, Computers & Geosciences 62 |	62	derived	module:anisotropy_anatomy.py,archetypes.py	unguarded
00-index.md	260	stack ordering | P | Braun & Willett 2013, Geomorphology 180–181 |	180	derived	test_anatomy_figures.py::test_hex_anatomy_draws_the_geometry_the_chapter_claims;test_archetypes.py::test_extract_satmap_authors_a_valid_gradient_from_imagery	guarded
00-index.md	260	ck ordering | P | Braun & Willett 2013, Geomorphology 180–181 |	181	derived	module:halfar_anatomy.py,hex_anatomy.py	unguarded
00-index.md	265	ight | P | Leopold & Wolman 1957, USGS Professional Paper 282-B (`03`) |	282	external	cite:Wolman 1957	unreproducible
00-index.md	266	depth estimation | F | Hydraulic geometry scaling (`w ∝ Q^0.5`, Leopold & Maddock 1953) |	0.5	derived	test_aeolian.py::test_flux_is_cubic_in_shear_velocity;test_analytic.py::test_superelevation_and_trigger	guarded
00-index.md	267	/ L (synthesis) | Continuity `v = Q/(w·d)`; Manning `v = (1/n)R^(2/3)S^(1/2)`; Froude `Fr = v/√(gd)` regime; secondar	1	derived	trivial-literal:no-evidence	unguarded
00-index.md	267	nthesis) | Continuity `v = Q/(w·d)`; Manning `v = (1/n)R^(2/3)S^(1/2)`; Froude `Fr = v/√(gd)` regime; secondary flow	2	derived	trivial-literal:no-evidence	unguarded
00-index.md	267	hesis) | Continuity `v = Q/(w·d)`; Manning `v = (1/n)R^(2/3)S^(1/2)`; Froude `Fr = v/√(gd)` regime; secondary flow in	3	derived	trivial-literal:no-evidence	unguarded
00-index.md	267	) | Continuity `v = Q/(w·d)`; Manning `v = (1/n)R^(2/3)S^(1/2)`; Froude `Fr = v/√(gd)` regime; secondary flow in bend	1	derived	trivial-literal:no-evidence	unguarded
00-index.md	267	| Continuity `v = Q/(w·d)`; Manning `v = (1/n)R^(2/3)S^(1/2)`; Froude `Fr = v/√(gd)` regime; secondary flow in bends;	2	derived	trivial-literal:no-evidence	unguarded
00-index.md	268	) | P | Standard open-channel hydraulics; roughness `n` ≈ 0.03 gravel–0.15 vegetated; `Fr=1` critical, hydraulic jump (`	0.03	derived	test_anatomy_figures.py::test_anisotropy_anatomy_builds_and_reports_the_trap;test_anisotropy.py::test_rotation_separates_lattice_anisotropy_from_the_interpolation_floor	guarded
00-index.md	268	dard open-channel hydraulics; roughness `n` ≈ 0.03 gravel–0.15 vegetated; `Fr=1` critical, hydraulic jump (`03`) |	0.15	derived	test_atom_coverage.py::<module>;test_crater.py::test_oblique_crater_elongates_downrange	guarded
00-index.md	268	draulics; roughness `n` ≈ 0.03 gravel–0.15 vegetated; `Fr=1` critical, hydraulic jump (`03`) |	1	derived	trivial-literal:no-evidence	unguarded
00-index.md	270	etwork sources) | P | Montgomery & Dietrich 1992 (Science 255) — channel head at an area×slope threshold; hillslope abo	255	derived	test_archetypes.py::test_extract_satmap_authors_a_valid_gradient_from_imagery;test_archetypes.py::test_render_tile_photoreal_composite	guarded
00-index.md	272	current seeded at edge tiles from wind + Coriolis (Ekman ~45°, gyre CW-N/CCW-S), deflected shore-parallel near coast;	45	derived	test_analysis.py::test_selectors_are_masks_in_unit_range;test_anisotropy.py::test_rotation_separates_lattice_anisotropy_from_the_interpolation_floor	guarded
00-index.md	274	near-zero flow, wind-wave surface | P/L | `flowVelocity ≈ 0` (slow outlet through-current only); the surface is fetch	0	derived	trivial-literal:no-evidence	unguarded
00-index.md	279	Jerolmack & Mohrig 2007; cellular Jerolmack & Paola 2007; 3-D stochastic Mackey & Bridge 1995 (`03`) |	3	external	trivial-literal:no-evidence	unguarded
00-index.md	300	stream fining (boulders → pebbles → sand) | P | Sternberg 1875, `D = D0·e^(−αx)` — abrasion + selective sorting (`04`) |	1875	unclassified	none	unreproducible
00-index.md	305	(continuum) | P | **Sauermann et al. 2001**, Phys. Rev. E 64 — flux saturation length + Exner: `∇·q` deflates/deposits	64	derived	inputs.py::constant_slope;inputs.py::flat	guarded
00-index.md	305	direction (`05`). Near-threshold variant: Owen 1964, JFM 20 |	20	derived	inputs.py::two_basins;test_aeolian.py::test_saturation_length_shifts_deposition_downwind	guarded
00-index.md	307	rchy / draa (mega-dunes) | P | Wilson 1972, Sedimentology 19 — ripple/dune/draa orders; compound & complex by superimp	19	derived	test_dimensional.py::test_lava_bingham_flux_is_area_per_time;test_dimensional.py::test_pipe_and_lava_driving_stress_is_pascals	guarded
00-index.md	308	(blowout) / F (parabolic form) | Hesp 2002, Geomorphology 48 — blowout initiation; arms trail upwind, no canonical par	48	derived	inputs.py::plateau;inputs.py::two_basins	guarded
00-index.md	309	unes (foredune, dune belt) | P | Baas 2002 (Geomorphology 48, DECAL model); Hesp 1989/2002; Durán & Moore 2013 (PNAS 1	48	derived	inputs.py::plateau;inputs.py::two_basins	guarded
00-index.md	309	8, DECAL model); Hesp 1989/2002; Durán & Moore 2013 (PNAS 110) — beach-fed, onshore wind, vegetation-capped (`12`, `05`	110	derived	test_archetypes.py::test_extract_satmap_authors_a_valid_gradient_from_imagery	guarded
00-index.md	312	r (subglacial tunnel deposit) | P | Shreve 1985, GSA Bull 96 — route on the ice-surface hydraulic potential, not the b	96	derived	test_aeolian.py::test_availability_gate_stops_transport;test_aeolian.py::test_deflation_cannot_excavate_below_the_available_sand	guarded
00-index.md	313	scaling | P (form) / ? (genesis) | Clark et al. 2009, QSR 28 — `E_max ≈ L^(1/3)`; genesis (deforming bed / instability	28	derived	inputs.py::two_basins;test_atom_coverage.py::<module>	guarded
00-index.md	313	) / ? (genesis) | Clark et al. 2009, QSR 28 — `E_max ≈ L^(1/3)`; genesis (deforming bed / instability / meltwater) un	1	external	trivial-literal:no-evidence	unguarded
00-index.md	313	/ ? (genesis) | Clark et al. 2009, QSR 28 — `E_max ≈ L^(1/3)`; genesis (deforming bed / instability / meltwater) unre	3	external	trivial-literal:no-evidence	unguarded
00-index.md	314	| Tunnel valleys | P (review) | Kehew et al. 2012, ESR 113 — subglacial meltwater channels, formation debated (`12`)	113	derived	module:erosion_streampower.py,render.py	unguarded
00-index.md	321	e level; lake-level history → shoreline terraces. Gilbert 1890 (Lake Bonneville) (`12`) |	1890	unclassified	none	unreproducible
00-index.md	322	| Gilbert (lacustrine) delta | P | Gilbert 1890 — topset/foreset/bottomset delta prograding into standing	1890	unclassified	none	unreproducible
00-index.md	324	in form (`12`). **Reviewed against an implementation 2026-08** — two corrections inline in `12`: the runnable core's `	08	external	trivial-literal:no-evidence	unguarded
00-index.md	324	nd the longshore `∝` now carries its derived coefficient `5π/16` with the alongshore-refraction term that is 25% of i	5	external	trivial-literal:no-evidence	unguarded
00-index.md	324	the longshore `∝` now carries its derived coefficient `5π/16` with the alongshore-refraction term that is 25% of it |	16	derived	inputs.py::plateau;test_aeolian.py::<module>	guarded
00-index.md	324	cient `5π/16` with the alongshore-refraction term that is 25% of it |	25	derived	test_aeolian.py::test_deflation_cannot_excavate_below_the_available_sand;test_alluvial_fan.py::test_fan_is_confined_to_its_sector	guarded
00-index.md	325	Coastal Eng. 8(4), 347–365 (undertow); Bailard 1981, JGR 86(C11), 10938–10954 (energetics total load — distinct from	86	derived	test_gallery_doc.py::<module>;test_gallery_doc.py::_table_cells	guarded
00-index.md	325	Eng. 8(4), 347–365 (undertow); Bailard 1981, JGR 86(C11), 10938–10954 (energetics total load — distinct from Bailard & In	10938	external	cite:Svendsen 1984	unreproducible
00-index.md	325	(4), 347–365 (undertow); Bailard 1981, JGR 86(C11), 10938–10954 (energetics total load — distinct from Bailard & Inman 19	10954	external	cite:Svendsen 1984	unreproducible
00-index.md	325	tics total load — distinct from Bailard & Inman 1981, JGR 86(C3), the bedload paper) (`12`). **Reviewed against an imp	86	derived	test_gallery_doc.py::<module>;test_gallery_doc.py::_table_cells	guarded
00-index.md	325	paper) (`12`). **Reviewed against an implementation 2026-08**: the crest depth `≈ H_b/γ` was attacked across five sea	08	external	trivial-literal:no-evidence	unguarded
00-index.md	325	trough**, not its position (`12`). **Corrected again 2026-08**, one level down: breaking does not *destroy* the wave's	08	external	trivial-literal:no-evidence	unguarded
00-index.md	325	position result stands; the collapse is slower than the `(1 − f_brk)` straight line an implementation reaches for, by	1	external	trivial-literal:no-evidence	unguarded
00-index.md	325	f_brk)` straight line an implementation reaches for, by **29.3% at half breaking** (`12`) |	29.3	external	cite:Svendsen 1984	unreproducible
00-index.md	326	984, Marine Geology 56(1–4), 93–118 — `Ω = H_b/(w_s·T)`; <1 / 1–6 / >6 (`12`) |	1	external	trivial-literal:no-evidence	unguarded
00-index.md	326	Marine Geology 56(1–4), 93–118 — `Ω = H_b/(w_s·T)`; <1 / 1–6 / >6 (`12`) |	1	external	trivial-literal:no-evidence	unguarded
00-index.md	326	arine Geology 56(1–4), 93–118 — `Ω = H_b/(w_s·T)`; <1 / 1–6 / >6 (`12`) |	6	external	trivial-literal:no-evidence	unguarded
00-index.md	326	Geology 56(1–4), 93–118 — `Ω = H_b/(w_s·T)`; <1 / 1–6 / >6 (`12`) |	6	external	trivial-literal:no-evidence	unguarded
00-index.md	327	& Reniers 2006, Coastal Eng. 53(2–3), 191–208 — spacing O(100 m), quasi-rhythmic (`12`) |	100	derived	inputs.py::spike;test_analysis.py::test_selectors_are_masks_in_unit_range	guarded
00-index.md	328	ndforms) | O'Brien 1969, ASCE J. Waterways & Harbors Div. 95(WW1), 43–52 — `A_inlet = C_OB·P_tide^0.85`; first form O'	95	derived	module:archetypes.py	unguarded
00-index.md	328	| O'Brien 1969, ASCE J. Waterways & Harbors Div. 95(WW1), 43–52 — `A_inlet = C_OB·P_tide^0.85`; first form O'Brien 193	43	derived	test_cited_paths_exist.py::<module>;test_cited_paths_exist.py::test_cross_skill_citations_are_present_and_resolve	guarded
00-index.md	328	'Brien 1969, ASCE J. Waterways & Harbors Div. 95(WW1), 43–52 — `A_inlet = C_OB·P_tide^0.85`; first form O'Brien 1931.	52	derived	test_cited_paths_exist.py::<module>;test_cited_paths_exist.py::test_recogniser_extracts_symbol_and_pins	guarded
00-index.md	328	ys & Harbors Div. 95(WW1), 43–52 — `A_inlet = C_OB·P_tide^0.85`; first form O'Brien 1931. Do not merge with the similarl	0.85	derived	test_flow_anatomy.py::test_the_hillslope_statistic_is_a_claim_about_THIS_relief_only;test_landforms.py::test_volcano_has_summit_crater_and_concave_cone	guarded
00-index.md	329	r is blue) | P | Pope & Fry 1997, Appl. Opt. 36(33) — min 0.0044 m⁻¹ @418 nm, ~140× that in the red; vibrational-overtone	0.0044	external	cite:Fry 1997	unreproducible
00-index.md	329	P | Pope & Fry 1997, Appl. Opt. 36(33) — min 0.0044 m⁻¹ @418 nm, ~140× that in the red; vibrational-overtone origin Br	418	external	cite:Fry 1997	unreproducible
00-index.md	329	& Fry 1997, Appl. Opt. 36(33) — min 0.0044 m⁻¹ @418 nm, ~140× that in the red; vibrational-overtone origin Braun & Smi	140	derived	test_analytic.py::test_pdc_blocked_by_ridge;test_meander.py::test_belt_is_not_carve_only_point_bars_stand_above_the_carve	guarded
00-index.md	329	& Smirnov 1993. **Smith & Baker 1981 blue absorption is ~3.4× too high** (`28`) |	3.4	derived	module:crater_demo.py,hex_anatomy.py	unguarded
00-index.md	330	d sediment | P | Bricaud-form `a_ph`; CDOM `a₄₄₀·exp[−S(λ−440)]`, S≈0.012–0.022; mineral `b_p(555)/SPM ≈ 0.5 m²/g` (Bab	440	derived	module:hex_anatomy.py	unguarded
00-index.md	330	| P | Bricaud-form `a_ph`; CDOM `a₄₄₀·exp[−S(λ−440)]`, S≈0.012–0.022; mineral `b_p(555)/SPM ≈ 0.5 m²/g` (Babin et al. 20	0.012	derived	module:erosion_pipe.py	unguarded
00-index.md	330	Bricaud-form `a_ph`; CDOM `a₄₄₀·exp[−S(λ−440)]`, S≈0.012–0.022; mineral `b_p(555)/SPM ≈ 0.5 m²/g` (Babin et al. 2003). *	0.022	derived	test_landforms.py::test_mountain_is_not_a_solid_of_revolution	guarded
00-index.md	330	; CDOM `a₄₄₀·exp[−S(λ−440)]`, S≈0.012–0.022; mineral `b_p(555)/SPM ≈ 0.5 m²/g` (Babin et al. 2003). **CDOM darkens, sed	555	external	cite:Babin et al. 2003	unreproducible
00-index.md	330	₀·exp[−S(λ−440)]`, S≈0.012–0.022; mineral `b_p(555)/SPM ≈ 0.5 m²/g` (Babin et al. 2003). **CDOM darkens, sediment brigh	0.5	derived	test_aeolian.py::test_flux_is_cubic_in_shear_velocity;test_analytic.py::test_superelevation_and_trigger	guarded
00-index.md	332	ecchi depth ↔ attenuation | P | Lee et al. 2015 — `Z_SD ≈ 1/min_λ K_d`, replacing the classical constant (best classi	1	external	trivial-literal:no-evidence	unguarded
00-index.md	332	the classical constant (best classical fit: Holmes 1970, 1.44) (`28`) |	1.44	external	cite:Lee et al. 2015	unreproducible
00-index.md	333	asurement) + D (shader interface) | Petzold 1972 (Scripps 72-78) for the measured VSF — cited from model knowledge, **	72	derived	test_landforms.py::test_mountain_is_organized_not_isotropic_noise;test_landforms.py::test_mountain_styles_are_distinct	guarded
00-index.md	333	rement) + D (shader interface) | Petzold 1972 (Scripps 72-78) for the measured VSF — cited from model knowledge, **not	78	derived	test_cited_paths_exist.py::test_recogniser_extracts_symbol_and_pins;test_landforms.py::test_crater_ejecta_thins_as_r_cubed	guarded
00-index.md	333	transferable fact is the direction, equivalent to `b_f ≳ 50·b_b`. Engines take absorption, scattering and `g` as thre	50	derived	test_analysis.py::test_selectors_are_masks_in_unit_range;test_analytic.py::test_age_depth_sqrt_law	guarded
00-index.md	333	parate inputs (Epic Single Layer Water docs, fetched 2026-08), which is why `28` exports them unsummed (`28`, terrain-	08	external	trivial-literal:no-evidence	unguarded
00-index.md	334	| Per-liquid index of refraction (Fresnel F0) | P | Water 1.33→F0 0.02; seawater/brine 1.341–1.397 (Maykut & Light, Appl	1.33	unclassified	none	unreproducible
00-index.md	334	quid index of refraction (Fresnel F0) | P | Water 1.33→F0 0.02; seawater/brine 1.341–1.397 (Maykut & Light, Appl. Opt. 3	0.02	derived	test_aeolian.py::test_gravity_and_air_density_rescale_the_threshold;test_atom_coverage.py::<module>	guarded
00-index.md	334	ion (Fresnel F0) | P | Water 1.33→F0 0.02; seawater/brine 1.341–1.397 (Maykut & Light, Appl. Opt. 34, 1995); natural liqu	1.341	unclassified	none	unreproducible
00-index.md	334	resnel F0) | P | Water 1.33→F0 0.02; seawater/brine 1.341–1.397 (Maykut & Light, Appl. Opt. 34, 1995); natural liquids sp	1.397	unclassified	none	unreproducible
00-index.md	334	2; seawater/brine 1.341–1.397 (Maykut & Light, Appl. Opt. 34, 1995); natural liquids span ~1.31–1.47, F0 ~0.018–0.036	34	derived	test_flow.py::test_fill_two_basins_spill_level	guarded
00-index.md	334	ykut & Light, Appl. Opt. 34, 1995); natural liquids span ~1.31–1.47, F0 ~0.018–0.036 — ship per body, never hardcode (`2	1.31	unclassified	none	unreproducible
00-index.md	334	& Light, Appl. Opt. 34, 1995); natural liquids span ~1.31–1.47, F0 ~0.018–0.036 — ship per body, never hardcode (`28`) |	1.47	derived	module:flow_anatomy.py	unguarded
00-index.md	334	ppl. Opt. 34, 1995); natural liquids span ~1.31–1.47, F0 ~0.018–0.036 — ship per body, never hardcode (`28`) |	0.018	derived	test_aeolian.py::_playa;test_chapter_numbers.py::<module>	guarded
00-index.md	334	pt. 34, 1995); natural liquids span ~1.31–1.47, F0 ~0.018–0.036 — ship per body, never hardcode (`28`) |	0.036	unclassified	none	unreproducible
00-index.md	335	F/synthesis | Popular Rayleigh explanation is **wrong** (2–65 µm ≫ λ). Flat backscatter shortens photon path; `a_w`	2	unclassified	trivial-literal:no-evidence	unguarded
00-index.md	335	/synthesis | Popular Rayleigh explanation is **wrong** (2–65 µm ≫ λ). Flat backscatter shortens photon path; `a_w` rem	65	derived	inputs.py::cone;inputs.py::inverted_cone	guarded
