# DEFECTS FOUND IN THE SOURCE SKILLS while distilling them into Gaia.
#
# Distillation reads source material closely enough to find things a normal reader would not,
# and those findings are worth more than the distilled prose. They are recorded here rather
# than silently corrected in Gaia, so that anyone still using the source can see them -- and so
# that Gaia's own version can be checked against a stated original.
#
# Verified by whoever recorded the row, not taken on the finder's word.
finding	where	what it says	what is correct	evidence	status
Worley 1996 states two different feature-point densities for the same parameter	Worley, A Cellular Texture Basis Function, §Computation of Fn(x)	"In practice, we use a density of about m = 4, but clamp the points in each cell to range between 1 and 9" and, two paragraphs later, "Our implementation was most efficient at about lambda = 3"	Both sentences describe the mean of the same Poisson distribution. The paper never reconciles them; either is defensible, but a reader taking one as the paper's constant will disagree with a reader taking the other.	Read the paper at https://cedric.cnam.fr/~cubaud/PROCEDURAL/worley.pdf, both statements in the section Computation of Fn(x).	noted only; noise-and-warping.md now says "a mean of about 4 per cube, clamped to 1-9", which is the figure given where the distribution is defined
Yuksel et al. 2007 is credited with refraction, dispersion and shoaling, none of which are in the paper	gaia/references/wave-models.md, the Wave particles bullet under What it beats	"Lagrangian carriers of wave energy advected over the bathymetry ... Refraction, dispersion and shoaling emerge instead of being painted; the cost is research-grade machinery and tens of thousands of carriers"	Wave Particles solves the plain second-order wave equation at a CONSTANT speed (its eq. 1), so it has no dispersion at all; its dispersion angle is a wavefront-spreading geometry term, not frequency dispersion. It has no bathymetry -- boundaries are container walls that reflect -- and it names diffraction as future work. It is also not costly: 170 fps at 100 000 particles on 2007 hardware, and the paper says under 10 000 give nearly identical results. Emergent refraction and shoaling over a varying bed belong to the later wave-packet literature, which Gaia has not read.	Read at cemyuksel.com/research/waveparticles/waveparticles.pdf. Eq. 1 is the constant-speed wave equation; sec. 3.2 says the wave speed is constant; sec. 3.3 defines boundaries as container edges; sec. 6 Table 1 and text give the timings; sec. 7 lists diffraction under future work.	confirmed; wave-models.md now states what the paper does and does not do, and names the packet line as uncited
A precise-looking locator pointed at the wrong section of Bruneton et al. 2010	gaia/references/water-optics.md front matter, the bruneton2010 source entry	locator: "§3, the roughness-aware mean-Fresnel fit whose exponent carries the view-direction slope variance"	The mean-Fresnel fit is eq. 26, in §5.2 Sky light under the sub-head Average Fresnel reflectance, with the view-direction variance defined in eq. 25 and the fit plotted in Fig. 7. §3 is Our ocean model -- deep ocean waves and the geometry-to-BRDF hierarchy -- and contains no Fresnel fit.	Read at maverick.inria.fr/Publications/2010/BNH10/article.pdf. The paper's own numbering: 3. Our ocean model, 3.1 Deep ocean waves, 3.2 Model hierarchy, 4. Ocean BRDF, 5. Ocean lighting, 5.1 Sun light, 5.2 Sky light. Eq. 26 is on p. 6, the second page of 5.2. Separately, the exponent transcription that repo carries -- 5*exp(-2.69*sigma) as the POWER, not a multiplier -- was checked against the PDF's glyph sizes and baselines and is correct.	confirmed and corrected; a wrong section number reads as more verified than no section number, which is the failure mode this metric can create
Kass and Miller 1990 is called unconditionally stable, which the paper does not claim	gaia/references/simulation-time-budget.md and the kass1990 bibliography entry	"It is unconditionally stable and it was the right call for offline film water" and, in papers-simulation.md, "Unconditionally stable, and a global solve per step"	The paper says stability derives from implicitness and that the time step can be made equal to the frame time in most cases; it then linearises by holding the depth d constant within a step, which it says virtually ensures that the iteration will not diverge. The words unconditionally stable do not appear. The global-solve half of the claim is exact and is the part the document actually argues from.	Read at ohiostate.pressbooks.pub/app/uploads/sites/45/2017/09/kass-miller.pdf, sections Introduction and Integration (eq. 9-16).	corrected in simulation-time-budget.md; the papers-simulation.md entry is owned elsewhere and is left for its owner
Losasso & Hoppe 2004 §6.3 is cited for zero-area-triangle T-junction stitching, but §6.3 is Texture mapping	gaia/references/heightfield-lod.md sources, and the clipmap correction row in papers-rendering.md	"§6.2–6.3 the transition region and zero-area-triangle T-junction removal", and in papers-rendering.md "§6.3: T-junctions are removed by rendering zero-area triangles"	The paper's §6 runs 6.1 Basic rendering algorithm, 6.2 Transition regions for visual continuity, 6.3 Texture mapping, 6.4 View-frustum culling. The T-junction removal paragraph — "we use the simple solution of rendering zero-area triangles along the render region boundaries" — is the run-in paragraph that CLOSES §6.2, immediately before the §6.3 heading. Everything else in the corpus row is right: toroidal 2-D wraparound access is §3, the newly exposed L-shaped fill is §5.	Text extracted from the author's copy at https://hhoppe.com/geomclipmap.pdf and read in order; §6.3 opens "Recall that each clipmap level also stores texture images for use in rasterization". Note that this copy is headed "SIGGRAPH 2004 Submission ... Draft - Do not distribute", so it is the submission draft, not the TOG printing.	corrected in heightfield-lod.md, which now cites §6.2 for both mechanisms and says so; papers-rendering.md is owned by another agent and still says §6.3
Tevs et al. 2008 is cited at §4 for the maximum-mipmap pyramid and its traversal; §4 is Comparison	gaia/references/heightfield-raymarching.md sources	"§4, the maximum-mipmap pyramid and its hierarchical traversal"	The paper's structure is 1 Introduction, 2 Related Work, 3 Algorithm, 3.1 Data Structure, 3.2 Intersection Algorithm, 3.3 Level of Detail, 3.4 Performance Improvements, 4 Comparison, 5 Results, 6 Conclusions. The max-reduce pyramid is §3.1 and the hierarchical safe-skip traversal is §3.2. §4 compares against relaxed cone step mapping and distance maps and contains no part of the method.	Text extracted from the MPG open-access copy at https://pure.mpg.de/rest/items/item_1325622_5/component/file_3590464/content. §3.1 opens "We define the height field as a collection of bilinear patches" and carries Table 1 of precompute timings; §3.2 opens "The intersection algorithm starts by rendering the bounding geometry".	corrected; the locator now names §3.1, §3.2 and §3.3 and states that §4 is Comparison
Dupuy 2020 is cited at §4 for split/merge; §4 is the generic CBT update pipeline and split/merge is §5.2	gaia/references/heightfield-lod.md sources	"§4, split/merge on the concurrent binary tree"	§4 CBT PROCESSING covers initialization, the sum-reduction and the parallel update pipeline for a CBT in the abstract. The split and merge procedures — including the same-depth neighbouring heap-index maps that make the LEB conforming — are §5.2 Dedicated LEB Algorithms for CBTs, and the GPU terrain renderer that feeds an indirect draw is §5.3.	Text extracted from the author's copy at https://onrendering.com/data/papers/cbt/ConcurrentBinaryTrees.pdf. §5.2 opens "Here, we provide the algorithms suitable for evaluating LEB adaptively using a CBT ... a specific procedure depending on whether we consider triangle splitting or merging".	corrected; the locator now names §5.2, §5.3 and §4.2 separately
Jensen 1996 is cited at §4 for the SEPARATE caustics photon map; §4 is the rendering pass, and the map is built in §3	gaia/references/caustics.md sources	"§4, the separate caustic photon map along specular paths"	The two-map split and the emission of photons towards the specular objects are §3 Pass 1: Constructing the Photon Maps. §4 is Pass 2: Rendering, and its §4.3 Caustics is only the term that consumes the map. A reader sent to §4 for the construction finds a one-sentence back-reference.	Text extracted from the author's copy at http://graphics.ucsd.edu/~henrik/papers/photon_map/global_illumination_using_photon_maps_egwr96.pdf. §3 reads "Unlike previous implementations we use two photon maps: A caustics photon map and a global photon map ... created by emitting photons towards the specular objects in the scene"; §4.3 reads "We evaluate this term using the information in the caustics photon map, see section 5".	corrected; the locator now names §3 for construction and §4.3 for use
Upchurch & Desbrun 2012 is cited for reversed-Z; the paper explicitly finds that reversed-Z gains nothing in the arithmetic it analyses	gaia/references/planetary-precision.md, the depth recommendation	"And reversed-Z into a float depth buffer, with an infinite far plane [upchurch2012]" — one citation carrying both halves	The paper's two recommendations are the infinite projection, §3.2, and the two-step transform that keeps the projection matrix out of the composed view matrix, §4.1. Reversed-Z is not among them. §6 Discussion says: "Complementary Z, having a = n/(f-n) and b = fn/(f-n), will suffer the same arithmetic precision loss of 2 epsilon as 1/Z. Whereas, inverse W, having a = 0 and b = n, will enjoy the same high precision as infinite projection." The reversed-Z win is in the STORAGE, not the transform, and the corpus's evidence for it is Reed's simulation, where reversed-Z with float32 is the only zero-error row.	Text extracted from the author's copy at https://www.cs.cornell.edu/~paulu/tightening.pdf; the sentence above is verbatim from §6, and Reed's table and its caption "the reversed-Z mapping is basically magic" are at https://developer.nvidia.com/content/depth-precision-visualized under The Effects of Roundoff Error.	corrected; planetary-precision.md now splits the attribution and states in prose that the two fixes are orthogonal
GPU Gems ch. 2 is cited as the standard exposition of the projected animated caustic texture; the chapter attributes that to Stam 1996 and replaces it	gaia/references/caustics.md, the crossover table and its F-tier warning	"the standard exposition is a GPU Gems book chapter [guardado2004]" for the stylized projected-texture tier	The chapter's own method, §2.3 Our Approach and §2.4, is a per-vertex backward ray trace: shoot a vertical ray per vertex of a fine mesh, refract at the wave surface by Snell, and use the angle to the vertical against the 0.53-degree sun disc as the caustic value. The projected animated texture appears only in §2.2's survey of prior work, where it is credited to Jos Stam 1996: "Stam's approach involved computing an animated caustic texture using wave theory, so it could be used to light the ground floor. This texture was additively blended with the object's base textures". The document's other use of the entry — per-vertex caustic intensity — was already correct.	Read at https://developer.nvidia.com/gpugems/gpugems/part-i-natural-effects/chapter-2-rendering-water-caustics, whose section headings are 2.1 Introduction through 2.7 References.	corrected; the warning paragraph now says there is no book chapter behind that tier either, and names where the chapter really puts the technique
CONFIRMED, not a defect: Bruneton's exp(-2.69 sigma) really is inside the Schlick exponent	gaia/references/water-rendering.md and the corrections table in papers-rendering.md	"pow(1 - cos theta, 5*exp(-2.69 sigma)) / (1 + 22.7 sigma^1.5)" — roughness in the exponent, not a factor on the result	This is right, and it is now checked rather than asserted. Plain text extraction cannot settle it, because a PDF flattens superscripts: both readings extract as "(1 - cos theta_v)5 exp(-2.69 sigma_v)". Glyph geometry settles it. In eq. 26 the base "(1 - cos theta_v)" is set at 8.97 pt on baseline y=389.0, while "5", "e", "x", "p", "(", "-", "2", ".", "6", "9", "sigma" are ALL set at 6.97 pt on baseline y=393.0-393.2 — one superscript run. The denominator "1 + 22.7 sigma_v^1.5" sits at y=376 under the rule.	Per-character font size and baseline dumped with pdfminer from the author's copy at https://maverick.inria.fr/Publications/2010/BNH10/article.pdf, page 6. Eq. 26 is in §5.2 Sky light; the slope variances the corpus also cites are eq. 4 in §3.2, derived in Appendix A.	confirmed; water-rendering.md's locator now names §3.2 eq. 4 and §5.2 eq. 26, so the next reader does not have to re-derive which section holds which
The CDLOD morph band is quoted at three different widths across this corpus, none of them the whitepaper's	gaia/references/heightfield-lod.md and tiled-streaming.md	"commonly the last quarter to third" in heightfield-lod.md, and "the outer 10-25% of a tile" in tiled-streaming.md	The whitepaper says, under LOD distances and morph areas: "This morph area usually covers the last 15%-30% of every LOD range." Neither corpus figure matches it and the two do not match each other.	Text extracted from the whitepaper at https://aggrobird.com/files/cdlod_latest.pdf. Two further facts about that artefact, both bearing on its locators: its section headings are UNNUMBERED, so no § can honestly be written for it; and it is dated 11 July 2010 and its last page reads "Paper revision 1 - Originally published in the journal of graphics, gpu and game tools", so the reachable whitepaper POST-dates the journal article rather than preceding it, which is the opposite of the usual whitepaper-then-journal assumption.	corrected; both documents now quote 15-30% and cite the named section. The tier stays F and the promotion path in papers-rendering.md is untouched — the artefact read here is still the whitepaper
Vlachos 2010 is cited for a triangle-wave cross-fade; the deck never uses that term	gaia/references/water-rendering.md, the flow-mapping paragraph, and the vlachos2010 bibliography note	"two phase-offset samples of the same texture cross-faded on a triangle wave"	Nothing here is mechanically wrong — slide 24 does say "Blend the short animated segment in two layers. Each layer is offset half a phase so we can hide the restart for each layer", and slides 46-47 describe a weight interval whose peak is at half distortion, which is a triangle wave in effect. But the phrase is the corpus's, not the source's, and a reader searching the deck for it finds nothing.	Slide text extracted per page from https://advances.realtimerendering.com/s2010/Vlachos-Waterflow(SIGGRAPH%202010%20Advanced%20RealTime%20Rendering%20Course).pdf; the deck is 54 slides and the string "triangle wave" does not occur.	noted only; the locator now names slides 23, 24, 46 and 47 and states that the deck never uses the phrase, so the wording is flagged where a reader will meet it
Mittring 2008 is cited for the virtual-texture feedback pass; the chapter credits that pass to Barrett and recommends against it	gaia/references/virtual-texturing.md sources	"page tables, feedback pass, page borders" attributed to mittring2008	The page table is Mittring's §2.3.2.1 The Indirection Texture with §2.3.2.7 its update, and the borders are §2.3.2.2 — both his. The feedback pass is §2.3.6.4 Exact Local Tile LOD in View Space with Occlusion, which opens "In BARRETT08 the author describes a method to compute the local LOD by rendering the view as a pre-pass with some special shader that outputs the tile-id with the required mip-map level", lists its readback latency and temporal blurriness, and then offers §2.3.6.5 Exact Local Tile LOD in Texture Space as the version that avoids those problems. The corpus already cites barrett2008 separately for the same loop, so nothing is missing — but a reader following mittring2008 to the feedback pass lands on a critique of it.	Text extracted from the course chapter at https://advances.realtimerendering.com/s2008/SIGGRAPH%202008%20-%20Advanced%20virtual%20texture%20topics.pdf; the chapter is numbered §2.1 through §2.6 with a full §2.3.x subsection tree.	sharpened rather than corrected; the locator now names the four subsections and says which one is Barrett's
Asirvatham & Hoppe 2005 is described as adding ONLY the GPU-resident form; it also restates toroidal access and the L-shaped update, with a refinement	the clipmap corrections table in gaia/references/papers-rendering.md, which another agent owns	"Toroidal addressing and the zero-area stitching triangles are inherited from losasso2004"	True as to origin, and the corpus's advice — cite 2004 for those mechanisms — is right. But the 2005 chapter does not merely inherit them silently: §2.4 Update states the L-shaped region and toroidal wraparound in its own words and adds an observation the 2004 paper does not make, that under toroidal access the L-shaped update region usually becomes a + shape written with two quads, or three or four when it wraps the texture boundary. Nothing in the corpus is wrong; the row is slightly harsher on the chapter than the chapter deserves.	Read at https://developer.nvidia.com/gpugems/gpugems2/part-i-geometric-complexity/chapter-2-terrain-rendering-using-gpu-based-geometry. The same read confirms the corpus's §2.3.5 and §2.4 locators exactly: §2.3.5 The Vertex Shader says "it reads the z value from the elevation map stored in the vertex texture", and §2.4 says "we modify regions of these textures by rendering to them using a pixel shader".	FIXED. papers-rendering.md no longer says the GPU-resident form is "the whole of what is new here" and states that inherited is not the same as absent; heightfield-lod.md's §2.3.5 / §2.4 locator was checked and left unchanged because it is correct. The same overstatement was also live in evals.json eval 2, which has been corrected
the epsilon fill's tie-breaking requirement is omitted, and a bare binary heap violates it	gaia/references/flow-routing.md, the priorityFlood block	"open = min-priority-queue keyed on elevation", with no mention of how ties are resolved	Barnes et al. 2014 Algorithm 3 (Priority-Flood+epsilon) opens with "Let Open be a priority queue WITH TOTAL ORDER". Sec 4 Ordering explains: with eps = 0 a total and a strict weak ordering "produce the same results", but once eps != 0 the total order is what guarantees each cell a shortest path to its flooding source, and hence that a depression with several equally-low outlets drains through the nearest. heapq, std::priority_queue and every plain binary heap are STRICT WEAK: equal keys emerge in whatever order internal swaps produced.	Reproduced. Flat basin, two outlets at exactly equal elevation, epsilon fill, tie order randomised over six seeds: the FILLED SURFACE IS BIT-IDENTICAL every time, so nothing that checks elevations sees anything wrong. The drainage is what moves -- up to 13 of 361 interior cells change which outlet they flood from, and the basin's split wanders 181/180 to 187/174 across seeds. An earlier attempt with a FIFO-vs-LIFO tiebreak found no difference at all and was wrong to conclude from that: both of those are total orders, just different ones. Only genuinely arbitrary tie resolution exposes it.	fixed; the block now requires a total order and says to push a monotonic counter, and the measurement is in the document
our priority-flood block is Algorithm 1, while the paper's epsilon variant is built on Algorithm 2	gaia/references/flow-routing.md	"That is [barnes2014]'s priority-flood"	It is the paper's Algorithm 1 with the epsilon lift folded in. Barnes' own Algorithm 3 is a variation of the IMPROVED Priority-Flood (Algorithm 2), which adds a plain FIFO queue for a depression's interior once its rim is known, so only m <= n cells reach the priority queue. Sec 5 Analysis gives the float bound as O(m log2 m), m <= n -- not the O(n log n) our block's every-cell-through-the-queue structure gives.	Read in the arXiv PDF (1511.04463): Algorithm 2's header says "uses a plain queue to speed-up the filling of depressions, once they are found"; Sec 5 states the O(m log2 m) reduction for floating-point DEMs.	fixed; both algorithms are now named, the bound corrected, and the fill is noted to be identical either way
absence of deprecation language in a specification is not evidence of absence when the spec is stale	the DirectX-Specs d3d/WorkGraphs.md page, checked as the primary artefact for whether GPU work graphs are still current	The spec (v1.012, last edited 2026-02-04, 531 KB) contains ZERO occurrences of "6.9", "6.10", deprecated, removed or sunset. Its "Shader target" section says node shaders target "lib_6_8 or above" -- an open-ended floor. Read alone it says the feature is alive and unrestricted.	Work Graphs were REMOVED effective Shader Model 6.10. microsoft/hlsl-specs proposals/0018-work-graphs.md carries "Version: SM 6.8 / Removed: SM 6.10" and the sentence "Work Graphs was introduced in Shader Model 6.8, and has been removed effective Shader Model 6.10. Driver support for Work Graphs is still available and supported on many devices." proposals/0046-dxil110.md adds "DXIL 1.10 removes support for 'node' shaders." DirectXShaderCompiler PR #8798 (merged 2026-08-31) implements it, with the source comment "available SM6.8, deprecated SM6.9, obsoleted SM6.10".	The decision landed in August 2026 in two repositories the descriptive spec does not track; that spec's last edit predates it by six months. A second piece of apparent counter-evidence was stale the same way: proposals/0048-group-wave-index.md still lists node shaders as valid targets, but git log dates that text to 2026-01-10, seven months before the removal. The removal quote was re-fetched and verified verbatim by the person recording this row, not taken on a report.	corrected before publication; node-graph-runtime.md now states the removal, the ceiling-not-deletion nuance and the lib_6_x exemption, AND records the method lesson -- check a file's date before inferring from its silence, and prefer the repository carrying the change over the one carrying the description
the order-N horizon sweep is attributed to a 2010 paper; it is 29 years older	gaia/references/terrain-analysis-masks.md, the occlusion section	the per-azimuth sweep credited to [timonen2010] (Timonen & Westerholm 2010)	Dozier 2022 §I p.1 records the lineage: the earliest horizon methods were O(N^2), and "a method subsequently developed for calculating horizons in order N time [3] made computation over larger terrain models feasible. Many, if not most, radiation calculations over mountains now use that method." Reference [3] is Dozier, Bruno & Downey (1981), Computers & Geosciences 7(2), 145-151.	Read in dozier2022 (open access, NTRS copy, verified locally). Timonen & Westerholm 2010 is a real paper and a real refinement -- the incremental convex hull -- so this is a lineage correction, not a swap. The 1981 paper could not be obtained here, so it is NAMED in the prose and not cited with a manufactured locator.	corrected; terrain-analysis-masks.md now states the lineage and cites dozier2022 for it, and driver-fields.md carries the same correction where it builds on the sweep
the OKF locator parser rejects any bracket, and two writers hit it independently	gaia/scripts/check.py, the inline-map parsing of `sources:` locators in OKF front matter	that a locator is free text	It is not. Any of [ ] { } inside a sources: locator makes the inline-map parse fail, because a bracket is read as the start of a nested structure. Two agents in the same wave hit it independently -- one on a natural-looking citation form, `[Horton 1945, p. 281-282]`, and one on a bracketed fraction inside an equation -- and mask-operators.md:9 was failing the same way at the same time. Earlier in this branch the same defect appeared as a `[culling1960]` marker inside a quoted locator.	Observed three times in this branch on three unrelated documents, which is what makes it a design defect rather than three mistakes. The failure is also badly diagnosed: the guard reports a parse failure plus a list of orphaned citations, and the orphan list is a consequence, so the reader chases the wrong symptom first.	NOT FIXED -- recorded. The guard is right to reject it (the front matter really is unparseable), but the writing convention that provokes it is natural and undocumented, and the error message names the wrong thing first. A fix would be to detect a bracket inside a quoted locator specifically and say so, rather than reporting a generic nested-list failure and its downstream orphans. Left for a guard pass; recorded here so the next writer does not rediscover it a fourth time
