# PROOFS FOR THE ASSERTIONS LISTED BELOW. Not "every assertion in check.py" -- an earlier
# version of this header claimed that and was false: seven assertions had no row at all.
# Claiming coverage you do not have is the defect this whole skill is built against, so the
# scope of this file is now stated as what it is.
#
# Re-executed 2026-09-02 against the CURRENT tree, in an isolated copy under /tmp holding only
# flow-routing.md, papers-flow.md, index.md and coverage.md -- so that other authors' in-flight
# documents could not colour a result. Every mutation was applied to a SUBJECT (a document, the
# bibliography, the coverage map or the index), never to the guard, and reverted afterwards.
#
# WHY THE PREVIOUS VERSION OF THIS FILE WAS WRONG, recorded rather than quietly replaced:
#   - it claimed "every assertion"; seven had no row (no bibliography file, missing `type`,
#     bad `status`, `okf_version` outside the index, a `sources` entry with no `id`, a declared
#     source never cited in the body, and the duplication check)
#   - one row's mutation did not produce the output recorded beside it (+250 filler lines was
#     said to give 602 lines; the document is 102 lines, so it gave 352 and did not trip the cap)
#   - rows recorded before a rename still named `papers.md`, a file that no longer exists
#   - the locator row claimed "a citation a reader cannot check" and proved only that a KEY was
#     present -- `locator: ""` passed
#   - the front-matter row claimed the subset was enforced, proved for inline maps only, while
#     inline lists carried the identical unfixed bug
# All of these were found by an adversarial review, not by me.
#
# ── RE-EXECUTED 2026-09-06, PHASE 0 ──────────────────────────────────────────────────────────
# Every row below carrying a NUMBER was re-run against the current tree in an isolated copy
# under /tmp, and the numbers replaced with what the run printed. What moved, and why it is
# recorded rather than quietly corrected:
#   - row `per-document line cap` said "+400 filler lines (918 total)" against a 411-line
#     document. Both halves were wrong: the mutation writes `'\nfiller\n'*400`, which is 800
#     lines, not 400, and 411 + 800 is 1211, not 918. The register was enshrining a number
#     nobody had re-run -- the same defect its own header records for the previous version.
#   - the coverage-target row's line number moved 77 -> 88 as coverage.md grew.
#   - every REPORTED metric moved with the corpus: locators 24/133 -> 170/241, unread
#     22/232 -> 26/256, approximation 4/36 -> 7/37, propagation 15/245 -> 16/256, reach
#     18/193 -> 17/193, recommendation-first 19/20 -> 36/37.
#   - "69 of 196 entries wrap onto a continuation line" was stale twice over; the measured
#     figure is 88 of 214, which is what check_propagation's docstring already said. Two
#     places in the guard disagreed about the same count and neither was re-run.
#   - requote's ENUMERATION was re-run and moved: 119 -> 120 checkable quotations, 68 -> 71
#     carrying no resolvable citation id, plus exclusion counts the tool did not print at all
#     when the row was written (394 spans under the 40-character floor, 0 code/URL spans, 425
#     lines inside fences). Its LOCATION SPLIT -- 6 located, 1 not found, 112 UNFETCHED --
#     could NOT be re-run: that needs the 42-PDF artefact cache, which this session does not
#     have. It is left with the date it was taken and marked NOT RE-RUN rather than
#     re-asserted. A number nobody re-measured is exactly what this block is fixing.
# Two rows were also DOWNGRADED to the literal mutation each covers -- see them below.
#
# ── ADDED 2026-09-08: two guards for two criteria that shipped content and no instrument ─────
# The last seven rows of this file. `check_budget_agreement` closes criterion 6's "checked"
# (38 Tier lines, 0 compared to anything) and `check_paths` closes audit G#9 (a dangling `.md`
# cross-reference, on which check.py exited 0). Both are ENFORCED, not reported, and each has
# TWO CI rows -- red naming its own rule, then green with only that rule stubbed. Both were
# also run against a GUTTED version of their own function to prove no other check reports the
# mutation, which the stub pass implies and this makes explicit. The whole `bites` job was
# extracted from .github/workflows/gaia.yml with a YAML-aware splice and run under `bash -e`:
# 36 rows red-and-green, 5 decoys green, 0 attribution errors, exit 0, in 66 s. It was 33+4
# before this sitting. Two rows below are OPEN rather than PROVEN and say what they do not
# cover; one of those is G#9's own named instance, which is out of the new guard's declared
# reach and is filed for the owners of the four documents that carry it.
assertion	mutation	expected	observed	verdict
a U+2028 inside a quoted front-matter value is REJECTED	put a U+2028 inside a quoted value	Unparseable	front matter contains U+2028, a separator that is invisible in a diff but splits lines	PROVEN, and DOWNGRADED 2026-09-06 to what the mutation actually shows. It said "no invisible line separators" and "a quoted value could inject a key or close the front matter early" -- the first over-claims (five separators are rejected, this run exercised one), and the second is the MOTIVE, not the result: the mutation demonstrates rejection, never an injection. The injection is reachable in principle -- str.splitlines() breaks on U+2028 where a diff and a reader do not -- but nobody has built it, so it is stated as the reason for the rule and not as a proven exploit
DECOY reword prose	"Every drainage network" -> "Practically every drainage network"	green	exit 0	GREEN
DECOY background entry	append an entry marked [background]	green	exit 0	GREEN
DECOY reorder sources	swap two rows in sources:	green	exit 0	GREEN
DECOY CRLF line endings	rewrite a document with \r\n	green: real newlines only, CR stripped	parsed identically	GREEN
NOT PROVEN	duplication / merge-candidate check (check.py check_duplication)	-	no mutation written for it; it is unproven, not known-vacuous	OPEN
NOT PROVEN	`verified:` staleness via sources_digest	-	the mechanism is new and untested by mutation; a human has not yet stamped any document, so there is nothing to invalidate	OPEN
NOT PROVEN	locator QUALITY (check.py locator_quality)	-	reported as a metric, never enforced: 170/241 (71%) of the FOLLOWABLE locators name a section, equation or page, with a further 15 declaring `no artefact:` and excluded from the ratio (re-measured 2026-09-06; it read 24/133 (18%) when this row was written, and the grounding work since is most of the difference). The rest are topic paraphrases like "the fill algorithm", which is an entire paper. A reader cannot follow those, and the guard cannot tell them from "eq. 7". Enforcing the remaining 71 today would redden them at once and teach everyone to ignore the guard, so it is a visible ratio that has to go up.	OPEN
NOT PROVEN	cross-skill path resolution	-	four documents pointed at a phantom water-physics/ (since corrected to terrain-renderer/)... which does not exist on this branch. check.py resolves citation IDS, not filesystem paths outside gaia/, so a dangling provenance pointer is invisible to it. Being fixed in prose; the guard gap remains.	OPEN
#
# ── RE-EXECUTION, 2026-09-02, AFTER THE REVIEW WAVE ─────────────────────────────────────────
#
# The rows above were proven against a tree that has since changed substantially: four critic
# reviews and four fix agents rewrote parts of every document, and a guard proven against an
# old tree is not known to bite against the current one. Eight mutations were re-applied to a
# full copy of the skill under /tmp (never to the working tree, never to the guard itself),
# each reverted before the next:
#
#   M1  citation key in a body marker changed to a non-existent id
#         -> RED, and BIDIRECTIONALLY: "body cites [guardado2005], which exists in NO
#            bibliography" AND "`sources:` declares `guardado2004`, never cited in the body"
#   M2  every body marker for a declared source deleted (orphaning it)
#         -> RED: "`sources:` declares `bornwolf_optics`, never cited in the body"
#   M3  a locator emptied to ""
#         -> RED: "`shah2007` has no usable `locator`". This is the assertion an earlier
#            version of this register got WRONG -- it proved only that a KEY was present.
#   M4  400 filler lines appended
#         -> RED: "958 lines, over the 450 cap -- it is two topics"
#   M5  the generated index hand-edited (one heading)
#         -> RED via `index.py --check`, exit 1
#   M6  a `covered` topic re-pointed at a document that does not exist
#         -> RED, and BIDIRECTIONALLY: the dangling arrow AND the now-unclaimed document
#   M7  `status: finished`, not in the legal set
#         -> RED: "status `finished` is not one of ['deprecated', 'draft', 'stable']"
#   M8  `okf_version` added to a document that is not the bundle root
#         -> RED: "`okf_version` belongs in the bundle root only"
#
#   DECOY  prose reworded throughout one document, no citation touched (a heading rewritten
#          and every occurrence of "the bed" changed to "the pool floor")
#         -> GREEN, as required. A guard that fires on rewording would be untrustworthy in the
#            opposite direction, and this corpus is being reworded constantly.
#
# Eight of eight bite; the decoy does not. The OPEN rows above are unchanged -- in particular
# locator QUALITY (27/135 sharp) is still reported and not enforced, and M3 proves only that an
# EMPTY locator is caught, not that a topic-paraphrase locator is. Those are different claims
# and this register does not conflate them.
#
# ── NEW ASSERTION, 2026-09-02: check_recommendation() ───────────────────────────────────────
#
# This closes the last unimplemented item on the approved plan's verification list. The plan
# asked for it checked BY SHAPE -- "flag any document where a named alternative gets its own
# heading" -- and that version is unbuildable without false positives, because a real
# time-budget crossover legitimately gives alternatives their own space. A guard that cries
# wolf on the corpus's best documents is trained out of usefulness in a week, so it was not
# built that way, and this note records the refusal rather than leaving the item looking done.
#
# What is enforced is the other half of the same doctrine, which is unambiguous: a content
# document must NAME AN APPROACH TO IMPLEMENT, in a `## Use this` section. A document without
# one is a survey, and this skill's entire claim over a literature review is that it
# recommends.
#
#   MUTATION  `## Use this` renamed to `## Some notes` in tiled-streaming.md
#     -> RED: "no `## Use this` section -- it surveys rather than recommends, or the
#        recommendation is buried"
#   DECOY 1   a DIFFERENT heading renamed ("## How this fails..." -> "## Failure modes")
#     -> GREEN, as required
#   DECOY 2   the `## Use this` section MOVED to sit after a later section
#     -> GREEN, and the reported count fell 19 -> 18
#
# Decoy 2 is the deliberate design. Whether the recommendation comes FIRST is REPORTED, not
# enforced: caustics.md legitimately defines the phenomenon before recommending a tier, and
# hard-failing it would be the guard dictating prose order. But a corpus drifting toward
# explain-then-maybe-recommend is the slide into a survey, so the number is visible and has to
# be argued for rather than sliding quietly. 36 of 37 state it first (re-measured 2026-09-06;
# 19 of 20 when this block was written).
#
# All three run in CI on every push (.github/workflows/gaia.yml, the `bites` job), so this is
# a standing check rather than a one-afternoon proof like the rows above it were.
#
# ── A REPORTED METRIC THAT WAS ITSELF WRONG, 2026-09-02 ─────────────────────────────────────
#
# locator_quality() is REPORTED, not enforced, and it had no mutation row because there is no
# pass/fail to mutate. That is exactly how it went unchecked. Its pattern matched the BARE
# WORDS "equation", "section", "algorithm", "table", "figure", "page" and "chapter" -- so
# "the fill algorithm" and "the thin-elastic-plate equation", both pure topic paraphrases,
# counted as sharp. The metric measured vocabulary, not followability, and it was inflated by
# precisely the locators it existed to find.
#
# Found by an agent doing the locator work, not by this register: it noticed that a locator it
# had deliberately declined to sharpen was already being scored as sharp.
#
# The pattern now requires a designator -- a number after the word, or a section mark. A bare
# § still counts when it introduces a NAME ("§Computation of Fn(x)"), because a named section
# is followable where an English word is not. Checked both ways on a fixture set:
#
#   vague  "the fill algorithm"                            (was: SHARP)
#   vague  "the thin-elastic-plate equation"               (was: SHARP)
#   vague  "the area-slope channel-initiation threshold"
#   SHARP  "eq. 2, exponent p = 1.1"
#   SHARP  "§3, the 8-neighbour steepest-descent rule"
#   SHARP  "§Computation of Fn(x)"
#   SHARP  "p. 682"        SHARP  "Figure 2, p. 30"        SHARP  "§2.3 eq. 6"
#
# Reported ratio before the fix: 70/137 (51%). After: 62/137 (45%). The earlier 27/135 figure
# quoted throughout this register's history was overstated for the same reason.
#
# THE GENERAL LESSON, which is why this is written down rather than quietly patched: a metric
# that only ever prints a number is never seen to fail, so nothing forces it to be right. The
# enforced assertions above all have mutation rows because failing is what they do. Any future
# REPORTED number needs a fixture set like the one above, or it is decoration.
#
# ── NEW ASSERTION, 2026-09-02: check_no_artefact() ──────────────────────────────────────────
#
# The locator metric now has three categories, not two. Some citations rest on classical
# results, standard analysis, or a convention this repository recommends -- things with no
# citable artefact at all. Nine were named when this block was written; the count re-measured
# 2026-09-06 is 15 citations against 13 tagged entries (airy_coastal, bodytype_doctrine,
# braid_flow_split, capillary_gravity, constraint_timing, explicit_diffusion_limit,
# fluid_authority, iop_split, periodic_lattice_practice, seam_fake_practice,
# steadystate_discharge, strat_authoring, subcell_channel). Their locators can NEVER become
# precise, so counting them in the denominator made the metric look permanently unfinished and
# quietly implied 100% was the target. It is not: they are excluded, so the ceiling of the
# ratio AS NOW DEFINED is 241/241, and the figure that used to be quoted as the ceiling --
# 128/137 -- was the ceiling of the OLD denominator, which no longer exists.
#
# Those locators now declare it themselves, opening `no artefact:`, and are excluded from the
# ratio. THE AUTHOR declares it; no script infers it from bibliography prose.
#
# WHY THIS NEEDED A GUARD OF ITS OWN. An exclusion is a way to make a gap disappear. Paste
# `no artefact:` onto a real paper's locator and the denominator shrinks and the percentage
# RISES -- this is the only mutation in the suite that IMPROVES a reported number, which is
# precisely what makes it dangerous. So the claim is checked against the bibliography, where a
# source's nature is already recorded: the marker is only accepted if the entry itself says the
# source has no canonical, citable or external artefact. Two independent places must agree.
#
#   MUTATION  `no artefact:` prepended to braun2013's locator in stream-power.md
#     -> RED: "`braun2013` is marked `no artefact:`, which excludes it from the locator ratio,
#        but its bibliography entry does not say it lacks a canonical source. Either the marker
#        is wrong, or the entry needs to say so -- do not shrink the denominator by assertion"
#     -> and the number it was trying to buy: 68/128 (53%) became 68/127 (54%), with the
#        no-artefact count going 9 to 10. The guard is what stands between that and a green run.
#
# Seven fixtures were added to --selftest for the marker itself, including three that must NOT
# be swallowed by it -- two real locators that merely mention the word "artefact" in passing,
# and the bare paraphrase form the marker replaces. Letting any of those through would delete a
# genuine gap from the denominator silently. 23/23 locator fixtures and 7/7 marker fixtures
# (re-measured 2026-09-06; 20/20 when written -- three source-code locator fixtures were added).
#
# Runs in CI (.github/workflows/gaia.yml, `bites`).
#
# ── check_no_artefact() REWRITTEN, 2026-09-03: a reviewer broke the previous one ─────────────
#
# The version recorded above regex-matched the bibliography entry's PROSE for "no canonical
# source", and `bibliography()` only captures an entry's FIRST PHYSICAL LINE. A reviewing agent
# demonstrated the bypass: `nuke_request` has a real, openable artefact (Foundry's NDK docs) and
# says "No canonical paper" on its third line, so marking it `no artefact:` failed -- but move
# those four words onto line 1 and the identical edit passed GREEN, excluding a citable source
# from the locator denominator and moving the reported ratio 53% -> 54%.
#
# That is the only mutation in the suite that IMPROVES a reported number, which is what makes it
# worth attacking, and the old docstring's defence -- "two independent places have to agree" --
# was one author's prose checked against the same author's prose by a four-word regex.
#
# The exclusion is now a STRUCTURED DECLARATION, not an inference. `_ENTRY` gained an explicit
# `[no-artefact]` tag alongside the existing `[background]`, and the check runs BOTH ways:
#
#   MUTATION A  `no artefact:` prepended to braun2013's locator (entry not tagged)
#     -> RED: "marked `no artefact:` ... but its bibliography entry in papers-generation.md is
#        not tagged [no-artefact]"
#   MUTATION B  the reviewer's exact bypass -- "No canonical paper." moved to line 1 of
#               nuke_request's entry AND its locator opened with `no artefact:`
#     -> RED. Under the old implementation this passed green and bought 53% -> 54%.
#   MUTATION C  airy_coastal, which IS tagged [no-artefact], given a real locator in
#               wave-models.md ("§4 the dispersion relation, ...")
#     -> RED: "tagged [no-artefact] in papers-simulation.md, but this document gives it a
#        locator that does not open with `no artefact:`. A source cannot have no artefact here
#        and an openable one there"
#   DECOY     the legitimate no-artefact citations, untouched
#     -> GREEN. 9 exclusions and a ratio of 85/159 when this was written; 15 exclusions and
#        170/241 re-measured 2026-09-06.
#
# All three mutations run in CI (.github/workflows/gaia.yml, `bites`), which carries 33 mutation
# rows and 4 rows that must stay green (re-counted 2026-09-06; eleven and two when written).
#
# THE LESSON, which generalises past this check: a guard that reads PROSE is not checking a
# second source, it is re-reading the first one through a regex. Where a claim must be
# corroborated, corroborate it against a structured field somebody had to write on purpose.
#
# ── PHASE 0, 2026-09-06: THE SIX HOLES, AND `bites` REBUILT SO A ROW CANNOT LIE ──────────────
#
# Every row below was run in an isolated copy of the skill under /tmp. Each was proven in BOTH
# directions, which is the change that matters: red WITH the guard, and green with the one rule
# it names stubbed out. `red` on its own says only that something objected. Two rows in this
# register's CI job were red for a reason other than the guard they named, and both would have
# stayed red with that guard deleted:
#   - `illegal status value` was red because the generated index carries the status column and
#     went stale, not because `finished` is outside the vocabulary. Fixed by regenerating the
#     index inside the mutation, before the assertion.
#   - `coverage points at a document that does not exist` RE-POINTED an existing arrow, which
#     also unclaims a real document and orphans its `routes_to`, so three functions reported it.
#     Fixed by ADDING a row that points at ghost.md, which leaves exactly one rule to fire.
# Both were re-run under the new harness before the fix, and both were reported as vacuous by
# it -- that is the evidence the harness works, and it is why every row now carries the message
# it must match and the rule that must be stubbed.
the index stamp normaliser is anchored to ONE line	inject a `}`-free block between `at: ` and the closing `}` of index.md's generated stamp	`index.py --check` red	red -- "index.md is out of date". With the pre-fix pattern restored (`[^,]` and `[^}]`, which match NEWLINES) the same file reports "index.md is current", exit 0	PROVEN both ways. The unanchored pattern ran from `at: ` to the next `}` ANYWHERE IN THE FILE and collapsed everything between them to `<stamp>` on both sides, so an index announcing every document human-verified passed --check green with check.py green beside it. A forged `verified:` forges one document; this forged the verification state of the whole corpus in one edit
a front-matter fence closes only at column 0	insert an indented `  ---` as the last line inside caustics.md's front matter	Unparseable	red -- "<path>/references/caustics.md:14: indented `---` inside the front matter. A fence closes only at column 0, and this parser will not guess whether this was meant as text or as the close". With `rstrip()` returned to `strip()` and the pre-scan disabled, the run is GREEN and the front matter has silently closed early	PROVEN both ways. This is the shape the parser's own docstring promises never happens: keys written visibly inside the fences vanish into the body without a word. The subset does not guess which of the two readings the author meant, because the two readings put different keys in the front matter
a duplicate key inside an inline map raises	`{ id: shah2007, tier: F, tier: P }` in a `sources:` row	Unparseable	red -- "duplicate key `tier` in an inline map; the first would be discarded". With the check stubbed the row resolves to P, agrees with the bibliography's P, and the run is GREEN	PROVEN both ways, and the green half is the finding: the document graded the source F on the page, the parser read P, and the tier-agreement guard compared P against P and passed. `:177` already raised on a duplicate at top level; this is the same rule one level down, which is the sibling-fixed-alone shape okf.py already records for `_inline_list` against `_inline_map`
an unknown key in a `sources:` row is rejected	`tier:` -> `teir:` on one row	red	red -- "references/caustics.md: `shah2007` carries unknown `sources:` key(s) `teir`; only `id`, `locator`, `tier` are read". With the check stubbed the run is GREEN and the row is UNGRADED	PROVEN both ways. A misspelled `tier:` is worse than an absent one: the agreement check reads `if "tier" in s`, so the row loses its comparison while still LOOKING graded on the page. `Tier:`, `teir:` and `locater:` all passed in silence before this
an ABSENT `status:` is a failure, not a default	delete the `status: draft` line from caustics.md	red	red -- "no `status:` -- required, not defaulted". With `fm.get("status", "draft")` restored in check.py AND in index.py -- the repair the plan rejected -- the run is GREEN	PROVEN both ways, and the green half is exactly why the key is required rather than defaulted. Three sites used to disagree about a missing key: check.py validated it as `stable`, the "stable needs `verified:`" rule read None and never fired, and index.py PRINTED stable -- so deleting one line advertised a draft as human-checked, past both guards. Defaulting to `draft` fixes the display and makes the mutation a NO-OP: a draft with the line deleted is still a draft, so nothing could ever be seen going red
the failure table is STRUCTURE, not a heading spelling	rename `## How this fails, and what it looks like` to `## Failure modes` in tiled-streaming.md	red	red -- "0 heading(s) start `## How this fails` or `## When it fails`; exactly one is required"	PROVEN both ways. This used to be a DECOY that had to stay green, and it cannot be both: `covers_body` digests `## Use this` and the failure table, so a digest keyed on a heading spelling can be EMPTIED by renaming the heading, with nothing going red. The decoy is retired and re-pointed at `## The residency state machine`, an ordinary section, which stays green
a stamp scopes the CLAIMS, not only the citations	stamp caustics.md with valid `covers`/`covers_body`, then reword one sentence inside `## Use this`	red	red -- "`verified:` is stale: the CLAIMS changed -- `covers_body` says `2a662f982a25`, `## Use this` and the failure table now digest to `d9c85c69826e`. That happened after human:ci-fixture read it, so the verification no longer covers the document"	PROVEN both ways, with the stamp written by the fixture because NO document in the corpus carries one yet -- otherwise these six rules are unreachable by mutation, which is how an assertion defined and never invoked survives. Reproduced end to end before `covers_body` existed: stamp a document, replace EVERY prose sentence in its body with an invention, and the guard exits 0 while the index prints **checked**
a stamp scopes the CITATIONS as well	the same stamp, then re-point one locator	red	red -- "`verified:` is stale: the SOURCES changed"	PROVEN both ways. The message names WHICH HALF moved, which is the whole point: "the digest changed" sends a reader to re-read a document when all that happened was a new citation, or the reverse
a stamp must carry BOTH digests	delete `covers_body:` from the stamp, leaving `covers:`	red	red -- "`verified:` is missing `covers_body`. A stamp scopes to BOTH halves of what was read"	PROVEN both ways
`verified:` names a human, not the word `human:`	`by: "human: "` -- seven characters, naming nobody	red	red -- "`verified:` needs a named `human:<id>` actor. `human: ` names nobody". With the pre-fix rule restored (`len(who) > len("human:")`, which is 7 > 6) the run is GREEN	PROVEN both ways. What has to be non-empty is the ID, not the string
`verified:` present REQUIRES `status: stable`	drop a stamped document back to `status: draft`	red	red -- "`verified:` on a `draft` document. The index prints **checked** for any document carrying a stamp, so this advertises a verification the status line denies"	PROVEN both ways. Before this, a draft carrying a stamp read as **checked** in the index while its own status line said otherwise
the OKF conformance block runs on APPARATUS too	delete `type: Bibliography` from papers-flow.md	red	red -- "references/papers-flow.md: no `type` -- the one always-required OKF key"	PROVEN both ways. `if path in skip: continue` at the top of the loop exempted the bibliographies, the index and the coverage map from the FORMAT contract as well as from the citation checks, so a bibliography could lose its `type:`, take an illegal `status:`, grow an `okf_version:` or carry a `verified:` naming nobody with nothing looking. papers-flow.md is the subject because its tags name the same axis its `type:` does, so deleting the key does NOT restage the index -- every other bibliography would have gone red through a stale index instead, which is the vacuity this whole block is about. ⚠️ THE EXEMPTION IS NOW EXACTLY TWO THINGS, both about CLAIMS: the `sources:` requirement and the body-marker cross-check. Running the marker check over apparatus reddens a CLEAN corpus -- measured, one hit: papers-flow.md:146 ends the braun2013 entry with the literal `[background]`, which `_MARKER` reads as a citation to an id in no bibliography. The literal exemption the audit proposed would have turned the corpus red on prose about a tag
