# REGISTER 3 — guard-domains.tsv   FROZEN at HEAD 0cdd5b1
# The column that matters is keyed_on: what the scan is keyed on, and therefore what spelling
# evades it. This is the register that would have caught 'the guard keyed on the substring slope
# missed 17 of 18 real spellings'.
#
# DENOMINATOR — guard files
#   test_*.py in reference-impl/tests/ ......... 61
#   classified mechanically (module docstring and comments stripped first, so prose about
#   'reading' does not count), every file in exactly one bucket:
#     numeric_or_behavioural_only   48
#     text_or_source_scanner         9
#     introspection_scanner          3
#     binary_reader                  1
#     SUM                           61
#   IDENTITY: 61 == 61 guard files -> HOLDS
#   Signals: text_or_source_scanner = .read_text( | open( | .glob( | .rglob( | .read() | readlines(
#            introspection_scanner  = inspect.signature | inspect.getsource | getattr( | __doc__
#            binary_reader          = open(..., 'rb')
#            numeric_or_behavioural = none of the above
#   All 61 files get a row. The 48 non-scanners carry population 0 and are marked '— none —' so
#   that no guard is outside the freeze; only the 13 scanners carry a coverage analysis.
#
# DENOMINATOR — per guard: population = files (or symbols) the guard's DECLARED domain resolves to
# at this HEAD; matched = how many of those the guard's key can actually reach. coverage_pct is
# matched/population. A guard at 100% file coverage can still be weakly keyed — see
# test_cited_paths_exist.py, where every file is reached but the exposure is per-token.
#
# WORST COVERAGE: test_scale_contract.py 19.1% (59/309), test_chapter_numbers.py 20.0% (6/30),
# test_render.py 25.0%, test_noise_pinch.py 40.0%, test_pseudocode_drift.py 40.0%,
# test_audit_drift.py 45.5%, test_atom_coverage.py 47.7% (was recorded 52.3%, see AMENDMENT),
# test_slope_units.py 73.5%.
#
# ── AMENDMENT, after the guard wave. Three cells in this register were WRONG. ─────────────
# A frozen enumeration freezes the LIST OF THINGS TO CHECK. It cannot freeze a measurement that
# was mis-measured, and refusing to correct one would make this file the thing it exists to
# prevent. What changed, and how each was caught:
#
#   1. test_atom_coverage.py: matched 23 / 52.3%  ->  matched 21 / 47.7%.
#      The two figures were TRANSPOSED: 23 is the size of the COMPLEMENT, the modules the guard
#      does not reach. Recomputed mechanically off ATOM-COVERAGE.md code spans against
#      reference-impl/*.py: 44 modules, 21 named, 23 not. Confirmed twice, independently, by the
#      agent that rewrote the guard and by the wave lead.
#
#   2. test_skill_integrity.py keyed_on: the `f"def {node}("` SUBSTRING symbol check does not
#      exist. It was retired at 028e900 and survives only as a comment at line 84 explaining why.
#      This register was written from that comment as though it described live code.
#
#   3. test_cited_paths_exist.py keyed_on: bare-prose paths ARE collected. The BARE token family
#      landed at 028e900 (line 101 of the guard at 23bceef). The cell described the recogniser as
#      it stood before that commit.
#
# The common cause is worth more than the three fixes: this file says FROZEN at HEAD 0cdd5b1, but
# two of its keyed_on cells describe guards that 028e900 had ALREADY repaired. The enumeration was
# frozen against a reading of the tree that was older than the tree. Briefs written from it sent
# two agents to fix holes that were already closed — both of them said so with evidence and
# refused to comply, which is the only reason this is an amendment and not a regression.
# ─────────────────────────────────────────────────────────────────────────────────────────
#
# FREEZE RULE: this row list is final — one row per guard file at this HEAD. Later waves may
# correct a population/matched figure or sharpen a note, but may not add or remove a guard row.
# A guard added after this HEAD goes to OPEN-ITEMS.md.

guard_file	scan_domain	population	matched	coverage_pct	keyed_on	notes
test_halfar_anatomy.py	reference-impl/sims_illustrative.py + reference-impl/halfar_anatomy.py + the figure caption text	2	2	100.0	literal alternation r'3\s*/\s*7|3.0\s*/\s*7|4\s*/\s*3|4.0\s*/\s*3|0.4286|1.3333' plus caption substrings 'RATE', 't0', 'RUN LENGTH'	Domain fully covered but the key is a numeral-spelling alternation: the same analytic exponent written 0.42857, 6/14, or computed as (n)/(2*n+1) leaks past it. This is the numeric-spelling twin of the slope-substring defect.
test_heightfield_io.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_hero.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_hex_grid.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_hydrology.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_isostasy.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_landforms.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_lithology.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_mask_partition.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_meander.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_noise.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_noise_pinch.py	inspect.signature over reference-impl/noise.py	10	4	40.0	getattr(noise, name) for 4 hardcoded names; parameter names read off the signature	4 of 10 public noise functions are introspected. A new generator is not checked unless someone edits the name list.
test_numerics.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_ops_filters.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_pipe.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_placement.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_pseudocode_drift.py	references/*.md (only chapters hardcoded in PAIRS / BLOCK_CONSTANTS / KNOWN_DIVERGENCES / PRESCRIBED_NOT_IMPLEMENTED) + reference-impl/*.py	30	12	40.0	a hand-maintained list of (chapter filename, literal regex, module, function, param) tuples	18 of 30 chapters are named by NO tuple, so no pseudocode constant in them is compared to anything. Coverage is a property of the hand-written list, not of the corpus; adding a chapter does not extend the guard.
test_render.py	inspect.signature over reference-impl/render.py	16	4	25.0	inspect.signature(render.material_rgb).parameters and a keyword-only kind assertion on 'palette'	4 of 16 public render functions are touched. The contract asserted is keyword-onlyness of one parameter of one function.
test_runout.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_scale_contract.py	inspect.signature over a hardcoded set of module functions	309	59	19.1	a hardcoded list of functions; parameters matched by NAME (cell_size / cellSize style) off the signature	59 of 309 public functions across reference-impl/*.py are covered. Keyed on parameter NAME, so a function that takes the scale under any other spelling is silently outside the contract.
test_scatter.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_screen_worlds.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_shallow_water.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_sims_illustrative.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_skill_integrity.py	SKILL.md + references/*.md + evals/ + reference-impl/*.md	30	30	100.0	substring containment: chapter filename in SKILL.md text; f"def {node}(" in a module's text	Routing coverage is complete (30/30 chapters named in SKILL.md). The keying is pure substring: 'def foo(' inside a comment, a docstring or a fenced example satisfies the symbol check without foo existing. The guard's own comment says so and it was not changed.
test_slope_units.py	references/*.md + *.md + reference-impl/*.md + reference-impl/*.py + reference-impl/tests/*.py	151	111	73.5	identifier containing the SUBSTRING 'slope' (_is_slope_symbol: "slope" in name.lower()) appearing inside the argument of a trig-family call	40 of the 151 files in the declared domain contain no literal 'slope'; 12 of those DO discuss the same quantity as gradient/grad/dzdx/tan(theta)/repose/dip. A reintroduction spelled `np.sin(gradient)` or `np.sin(S)` is invisible to this guard. The guard's own test_the_scan_reaches_the_code_that_runs asserts only a file COUNT floor (>=100), not that any particular spelling is reached.
test_snow.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_streampower.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_tectonics.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_thermal.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_winds.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
