# REGISTER 2 — constant-pairs.tsv   FROZEN at HEAD 0cdd5b1
# Pairs every constant stated in shipped prose (fenced pseudocode AND running text) against every
# numeric default in reference-impl/*.py, AND against every other statement of the same symbol.
#
# DENOMINATOR — prose side
#   fenced blocks scanned .................... 250
#   fenced lines scanned ..................... 1896
#   numeric tokens inside those fences ....... 1304   (== register 1's fenced_code exclusion; the two registers reconcile)
#     -> fenced constant assignments (rows) .. 151
#     -> excluded, every category counted:
#          fenced:formula_or_bare_literal       539
#          fenced:in_comment                    369
#          fenced:positional_call_arg           139
#          fenced:array_index_or_slice          101
#          fenced:keyword_or_control_lhs          5
#          SUM excluded                        1153
#     IDENTITY: 151 assignments + 1153 excluded = 1304 == fenced tokens -> HOLDS
#   prose (non-fenced) `symbol` => number statements ......... 60
#     candidates rejected, every category counted:
#          prose:no_connective_between_symbol_and_number    104
#          prose:number_is_a_citation_or_xref_token           7
#     IDENTITY: 60 kept + 111 rejected = 171 candidates
#     'number_is_a_citation_or_xref_token' reuses register 1's exclusion map verbatim, so the two
#     registers cannot disagree about what counts as a citation.
#     scanned over a 2-LINE WINDOW because this corpus hard-wraps: the dune `hop` docstring case
#     is split across two lines and a 1-line scan misses it. That is the exact defect class here.
#     Restricted to symbols that exist in module source (359 symbols), so a prose number next to an
#     unimplemented name is NOT a row — that residue is a known gap, logged in OPEN-ITEMS.md.
#
# DENOMINATOR — module side
#   distinct symbols carrying a numeric default/const .... 298
#   distinct symbols carrying a docstring-stated value ... 98
#   symbols never mentioned in prose (module_only rows) .. 514
#
# ROWS EMITTED: 884
# VERDICTS: module_only=514, chapter_vs_chapter=159, chapter_only=98, diverge=81, agree=32
#   agree              chapter value == module value
#   diverge            chapter value != module value  <-- the defect class
#   chapter_only       prose states a constant for a symbol no module defines
#   module_only        module ships a default no prose ever states
#   chapter_vs_chapter the SAME symbol is given two different values by two prose/docstring sites.
#                      Required because a chapter<->module-only table cannot see this class at all;
#                      dune `hop` is the worked instance (05:399 says 3, dunes.py:49 docstring says 5,
#                      dunes.py:20 ships 1 — a three-way split no pairwise chapter/module check finds).
#   CAVEAT, stated not hidden: 137 of the 159 chapter_vs_chapter rows involve a symbol of <=2 characters
#   (n, c, k, H ...). Single letters are reused across unrelated chapters, so many of those rows are
#   name collisions rather than real divergences. They are KEPT, not dropped: a freeze must not
#   silently discard candidates. Wave 1 downgrades them by assigning a verdict, not by deleting rows.
#
# FREEZE RULE: later waves may only change the verdict column. New pairs go to OPEN-ITEMS.md.

chapter	chapter_line	symbol	chapter_value	module	module_symbol	module_value	verdict
03-flow-routing.md	187	r	0	ops_filters.py	default:median()@201;default:guided_filter()@228;default:dilate()@262 +5 more	1;2;1	diverge
03-flow-routing.md	195	best_s	0	—	—	—	chapter_only
03-flow-routing.md	195	best_r	0	—	—	—	chapter_only
03-flow-routing.md	216	p	1.1	flow.py	default:mfd_accumulation()@95	1.1	agree
03-flow-routing.md	217	total	0	—	—	—	chapter_only
03-flow-routing.md	237	p	1	flow.py	default:mfd_accumulation()@95;default:hybrid_accumulation()@118	1.1;1.1	diverge
03-flow-routing.md	238	cellSize	0.5	—	—	—	chapter_only
03-flow-routing.md	461	exponent	0.7	—	—	—	chapter_only
03-flow-routing.md	598	w	1	crater_anatomy.py,hex_anatomy.py	default:_arrow()@48;default:_line()@83;default:_poly()@88	4;1.4;1.4	diverge
03-flow-routing.md	854	n	0.03	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
04-erosion-hydraulic.md	181	speed	1	—	—	—	chapter_only
04-erosion-hydraulic.md	181	water	1	—	—	—	chapter_only
04-erosion-hydraulic.md	181	sediment	0	—	—	—	chapter_only
04-erosion-hydraulic.md	187	blend	0	—	—	—	chapter_only
04-erosion-hydraulic.md	309	n	0	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
04-erosion-hydraulic.md	313	dg	1	—	—	—	chapter_only
04-erosion-hydraulic.md	405	n	1	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
05-erosion-thermal-aeolian.md	35	maxExcess	0	—	—	—	chapter_only
05-erosion-thermal-aeolian.md	35	dTotal	0	—	—	—	chapter_only
05-erosion-thermal-aeolian.md	46	c	0.5	capability_grid.py	module-const@288	60	diverge
05-erosion-thermal-aeolian.md	133	talusAngle	37	—	—	—	chapter_only
05-erosion-thermal-aeolian.md	244	g	9.81	crater.py	default:transient_crater_diameter()@29	9.81	agree
05-erosion-thermal-aeolian.md	244	v0	0	runout.py	default:voellmy_runout()@37	0	agree
05-erosion-thermal-aeolian.md	428	p_sand	0.6	dunes.py	default:werner_dunes()@20	0.6	agree
05-erosion-thermal-aeolian.md	428	p_bare	0.4	dunes.py	default:werner_dunes()@20	0.4	agree
06-analysis-masks.md	110	plan	0	—	—	—	chapter_only
06-analysis-masks.md	112	profile	2	—	—	—	chapter_only
06-analysis-masks.md	113	plan	2	—	—	—	chapter_only
06-analysis-masks.md	169	maxTan	0	—	—	—	chapter_only
06-analysis-masks.md	179	v	0	crater.py,crater_demo.py	kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46	17000;20000	diverge
06-analysis-masks.md	247	E	0	meander.py	kwdefault:migrate()@144;kwdefault:meander_belt()@322	0.02;16	diverge
06-analysis-masks.md	248	Eflat	0	—	—	—	chapter_only
07-scatter.md	31	k	30	scatter.py	default:poisson_disk()@28	30	agree
07-scatter.md	83	angle	2	crater.py,crater_demo.py,ops_filters.py	default:transient_crater_diameter()@29;kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46 +1 more	45;45;45	diverge
07-scatter.md	89	angle	2	crater.py,crater_demo.py,ops_filters.py	default:transient_crater_diameter()@29;kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46 +1 more	45;45;45	diverge
08-output-contract.md	633	lum	0.2126	—	—	—	chapter_only
08-output-contract.md	636	width	3	capability_grid.py,halfar_anatomy.py,tectonics.py	default:wrap()@485;default:line()@484;default:hline()@490 +2 more	34;2;1	diverge
08-output-contract.md	748	metallic	0	—	—	—	chapter_only
10-primitives-ops-filters.md	434	num	0	—	—	—	chapter_only
10-primitives-ops-filters.md	434	den	0	—	—	—	chapter_only
10-primitives-ops-filters.md	435	radius	2	analysis.py,anisotropy_anatomy.py,placement.py,render.py	default:deposit_fill()@244;default:peaks()@269;kwdefault:texture_base()@280 +5 more	3;4;3	diverge
11-geological.md	223	regolithDepth	0	—	—	—	chapter_only
11-geological.md	249	env	0	—	—	—	chapter_only
11-geological.md	257	ridges	1	—	—	—	chapter_only
11-geological.md	320	joints	1.7	—	—	—	chapter_only
11-geological.md	321	the	90	—	—	—	chapter_only
11-geological.md	439	P0	0.05	—	—	—	chapter_only
11-geological.md	439	h_star	0.3	—	—	—	chapter_only
11-geological.md	505	K_dur	0.01	—	—	—	chapter_only
11-geological.md	709	D	0.2	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
11-geological.md	711	scales	1	—	—	—	chapter_only
11-geological.md	712	r	0	ops_filters.py	default:median()@201;default:guided_filter()@228;default:dilate()@262 +5 more	1;2;1	diverge
11-geological.md	715	rimCrest	0.04	—	—	—	chapter_only
11-geological.md	730	D_tc	1.161	—	—	—	chapter_only
11-geological.md	768	Dc	3200	—	—	—	chapter_only
11-geological.md	769	D	1.25	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
11-geological.md	769	depth	0.2	landforms.py,meander.py	kwdefault:canyon()@408;default:karst_sinkholes()@506;kwdefault:meander_belt()@322	750;5;7.5	diverge
11-geological.md	770	D	1.17	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
11-geological.md	774	ecc	1	archetypes.py	default:_butte()@90	1	agree
11-geological.md	778	p	1	flow.py	default:mfd_accumulation()@95;default:hybrid_accumulation()@118	1.1;1.1	diverge
11-geological.md	783	azw	0.12	—	—	—	chapter_only
11-geological.md	783	caps	8	—	—	—	chapter_only
11-geological.md	787	ring	0.04	—	—	—	chapter_only
12-glacial-coastal.md	50	beta	0.005	glacier.py,sims_illustrative.py	kwdefault:glacier_carve()@38;kwdefault:glacier_sia()@84	0;0	diverge
12-glacial-coastal.md	66	n	3	glacier.py	kwdefault:glacier_carve()@38	3	agree
12-glacial-coastal.md	66	A	2.4e-24	sims_illustrative.py	kwdefault:glacier_sia()@84	2.4e-24	agree
12-glacial-coastal.md	112	H	0	noise.py	default:ridged_mf()@186;default:hybrid_mf()@205	1;0.25	diverge
12-glacial-coastal.md	184	l	1	glacier.py	kwdefault:glacier_carve()@38	1	agree
12-glacial-coastal.md	184	K_g	0.0001	glacier.py	kwdefault:glacier_carve()@38	0.0008	diverge
12-glacial-coastal.md	367	d	0	—	—	—	chapter_only
12-glacial-coastal.md	373	e	0	—	—	—	chapter_only
12-glacial-coastal.md	1091	n	1	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
12-glacial-coastal.md	1326	K	0.15	braided.py	kwdefault:braided_river()@41	0.02	diverge
12-glacial-coastal.md	1835	u_rip	0.5	—	—	—	chapter_only
12-glacial-coastal.md	1836	over	2	—	—	—	chapter_only
12-glacial-coastal.md	1945	n_OB	0.85	—	—	—	chapter_only
12-glacial-coastal.md	1948	fit	0.000469	—	—	—	chapter_only
12-glacial-coastal.md	2057	below	50	—	—	—	chapter_only
12-glacial-coastal.md	2096	K_d	0.03	—	—	—	chapter_only
12-glacial-coastal.md	2165	d₀	2500	—	—	—	chapter_only
12-glacial-coastal.md	2165	C	350	analytic.py	default:seafloor_depth_hsc()@19	350	agree
12-glacial-coastal.md	2184	plateSpeed	0.05	—	—	—	chapter_only
13-climate-ecosystem.md	96	s	1	archetypes.py,hex_anatomy.py	module-const@132;module-const@135;module-const@166 +3 more	0.72;40;46	diverge
13-climate-ecosystem.md	96	gives	1.5	—	—	—	chapter_only
13-climate-ecosystem.md	165	q	0	—	—	—	chapter_only
13-climate-ecosystem.md	195	n	0	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
13-climate-ecosystem.md	262	e	0.5	—	—	—	chapter_only
13-climate-ecosystem.md	284	insol	1	—	—	—	chapter_only
13-climate-ecosystem.md	289	insol	6	—	—	—	chapter_only
13-climate-ecosystem.md	298	snowRepose	35	—	—	—	chapter_only
13-climate-ecosystem.md	413	age	0	—	—	—	chapter_only
14-graph-runtime.md	242	to	1e-06	—	—	—	chapter_only
14-graph-runtime.md	365	Q0	256	braided.py	kwdefault:braided_river()@41	40	diverge
14-graph-runtime.md	366	Q1	1024	—	—	—	chapter_only
19-lava.md	88	insulation	0.01	—	—	—	chapter_only
19-lava.md	95	L	0	crater.py,crater_demo.py	kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46	100;100	diverge
26-hexagonal-grids.md	196	z	1	aeolian.py	kwdefault:shear_velocity()@57;kwdefault:transport_field()@97;kwdefault:exner_step()@144	10;10;10	diverge
26-hexagonal-grids.md	448	z	0	aeolian.py	kwdefault:shear_velocity()@57;kwdefault:transport_field()@97;kwdefault:exner_step()@144	10;10;10	diverge
27-engine-data-handoff.md	283	moisture	0	—	—	—	chapter_only
28-liquids.md	55	h_c	0	—	—	—	chapter_only
28-liquids.md	79	depths	227	—	—	—	chapter_only
28-liquids.md	80	by	5	—	—	—	chapter_only
28-liquids.md	80	orange	10	—	—	—	chapter_only
28-liquids.md	80	yellow	20	—	—	—	chapter_only
28-liquids.md	80	green	40	—	—	—	chapter_only
SIMULATION-AUDIT.md	105	froz	2.05	—	—	—	chapter_only
SIMULATION-AUDIT.md	106	molt	0	—	—	—	chapter_only
VALIDATION.md	117	py	26	—	—	—	chapter_only
VALIDATION.md	118	py	44	—	—	—	chapter_only
VALIDATION.md	119	py	42	—	—	—	chapter_only
VALIDATION.md	120	py	79	—	—	—	chapter_only
VALIDATION.md	121	py	107	—	—	—	chapter_only
VALIDATION.md	147	py	18	—	—	—	chapter_only
VALIDATION.md	148	py	26	—	—	—	chapter_only
VALIDATION.md	149	py	44	—	—	—	chapter_only
VALIDATION.md	150	py	42	—	—	—	chapter_only
VALIDATION.md	151	py	79	—	—	—	chapter_only
VALIDATION.md	152	py	107	—	—	—	chapter_only
00-index.md	268	n	0.03	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
00-index.md	421	G	3	aeolian.py,isostasy.py,shallow_water.py	module-const@44;module-const@9;module-const@20	9.81;9.81;9.81	diverge
00-index.md	421	k	0	anisotropy_anatomy.py,crater_demo.py,hydrology.py,landforms.py,scatter.py	default:axis_locked()@59;default:isotropic()@67;default:field_smear()@74 +6 more	9;9;9	diverge
00-index.md	427	G	3	aeolian.py,isostasy.py,shallow_water.py	module-const@44;module-const@9;module-const@20	9.81;9.81;9.81	diverge
00-index.md	428	H	3	noise.py	default:ridged_mf()@186;default:hybrid_mf()@205	1;0.25	diverge
03-flow-routing.md	338	A	3	aeolian.py,sims_illustrative.py	kwdefault:threshold_shear()@69;kwdefault:glacier_sia()@84	0.1;2.4e-24	diverge
03-flow-routing.md	340	A	13	aeolian.py,sims_illustrative.py	kwdefault:threshold_shear()@69;kwdefault:glacier_sia()@84	0.1;2.4e-24	diverge
04-erosion-hydraulic.md	271	K	1e-05	braided.py	kwdefault:braided_river()@41	0.02	diverge
04-erosion-hydraulic.md	342	D	0.01	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
04-erosion-hydraulic.md	367	D	0.5	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
04-erosion-hydraulic.md	367	K	1	braided.py	kwdefault:braided_river()@41	0.02	diverge
04-erosion-hydraulic.md	379	D	0.1	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
04-erosion-hydraulic.md	380	c	0.225	capability_grid.py	module-const@288	60	diverge
05-erosion-thermal-aeolian.md	367	L_sat	0.5	—	—	—	chapter_only
05-erosion-thermal-aeolian.md	386	exner_step	0.2	—	—	—	chapter_only
05-erosion-thermal-aeolian.md	399	hop	3	dunes.py	default:werner_dunes()@20	1	diverge
07-scatter.md	96	k	30	scatter.py	default:poisson_disk()@28	30	agree
08-output-contract.md	28	height	0	anisotropy_anatomy.py,landforms.py,ops_filters.py	default:cone()@54;kwdefault:mountain()@204;kwdefault:ridge()@319 +1 more	30;1600;900	diverge
08-output-contract.md	91	height	27	anisotropy_anatomy.py,landforms.py,ops_filters.py	default:cone()@54;kwdefault:mountain()@204;kwdefault:ridge()@319 +1 more	30;1600;900	diverge
09-verification.md	601	D	0.1	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
10-primitives-ops-filters.md	203	smax	0	—	—	—	chapter_only
10-primitives-ops-filters.md	421	r	1	ops_filters.py	default:median()@201	1	agree
11-geological.md	199	K	4	braided.py	kwdefault:braided_river()@41	0.02	diverge
12-glacial-coastal.md	92	D	2	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
12-glacial-coastal.md	171	A	2.4	aeolian.py,sims_illustrative.py	kwdefault:threshold_shear()@69;kwdefault:glacier_sia()@84	0.1;2.4e-24	diverge
12-glacial-coastal.md	178	K_g	0.0001	glacier.py	kwdefault:glacier_carve()@38	0.0008	diverge
12-glacial-coastal.md	178	l	0.0001	glacier.py	kwdefault:glacier_carve()@38	1	diverge
12-glacial-coastal.md	258	s	11	archetypes.py,hex_anatomy.py	module-const@132;module-const@135;module-const@166 +3 more	0.72;40;46	diverge
12-glacial-coastal.md	1207	r	0.1	ops_filters.py	default:median()@201;default:guided_filter()@228;default:dilate()@262 +5 more	1;2;1	diverge
12-glacial-coastal.md	1397	K	0.15	braided.py	kwdefault:braided_river()@41	0.02	diverge
19-lava.md	178	T_erupt	1100	sims_illustrative.py	kwdefault:lava_flow()@28	1400	diverge
19-lava.md	179	T_solidus	980	sims_illustrative.py	kwdefault:lava_flow()@28	1000	diverge
20-archetypes.md	1045	D	1	erosion_streampower.py	default:stream_power_evolve()@63	0	diverge
22-open-source-grounding.md	84	p	1.1	flow.py	default:mfd_accumulation()@95	1.1	agree
26-hexagonal-grids.md	56	W	15.5	crater_anatomy.py	module-const@67	1000	diverge
26-hexagonal-grids.md	116	s	3	archetypes.py,hex_anatomy.py	module-const@132;module-const@135;module-const@166 +3 more	0.72;40;46	diverge
26-hexagonal-grids.md	219	N	2	anisotropy_anatomy.py,crater_anatomy.py,flow_anatomy.py,halfar_anatomy.py	module-const@24;module-const@29;module-const@43 +1 more	121;460;160	diverge
26-hexagonal-grids.md	283	s	3	archetypes.py,hex_anatomy.py	module-const@132;module-const@135;module-const@166 +3 more	0.72;40;46	diverge
26-hexagonal-grids.md	283	N	3	anisotropy_anatomy.py,crater_anatomy.py,flow_anatomy.py,halfar_anatomy.py	module-const@24;module-const@29;module-const@43 +1 more	121;460;160	diverge
26-hexagonal-grids.md	291	A	3	aeolian.py,sims_illustrative.py	kwdefault:threshold_shear()@69;kwdefault:glacier_sia()@84	0.1;2.4e-24	diverge
26-hexagonal-grids.md	376	k	0	anisotropy_anatomy.py,crater_demo.py,hydrology.py,landforms.py,scatter.py	default:axis_locked()@59;default:isotropic()@67;default:field_smear()@74 +6 more	9;9;9	diverge
26-hexagonal-grids.md	486	r	60	ops_filters.py	default:median()@201;default:guided_filter()@228;default:dilate()@262 +5 more	1;2;1	diverge
26-hexagonal-grids.md	544	G	3	aeolian.py,isostasy.py,shallow_water.py	module-const@44;module-const@9;module-const@20	9.81;9.81;9.81	diverge
26-hexagonal-grids.md	602	H	3	noise.py	default:ridged_mf()@186;default:hybrid_mf()@205	1;0.25	diverge
26-hexagonal-grids.md	649	N	2	anisotropy_anatomy.py,crater_anatomy.py,flow_anatomy.py,halfar_anatomy.py	module-const@24;module-const@29;module-const@43 +1 more	121;460;160	diverge
26-hexagonal-grids.md	773	H	6	noise.py	default:ridged_mf()@186;default:hybrid_mf()@205	1;0.25	diverge
28-liquids.md	93	c	5	capability_grid.py	module-const@288	60	diverge
28-liquids.md	307	n	589	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
GALLERY.md	83	height	233	anisotropy_anatomy.py,landforms.py,ops_filters.py	default:cone()@54;kwdefault:mountain()@204;kwdefault:ridge()@319 +1 more	30;1600;900	diverge
GALLERY.md	85	exner_step	393	—	—	—	chapter_only
GALLERY.md	85	yardang	393	—	—	—	chapter_only
GALLERY.md	86	depth	207	landforms.py,meander.py	kwdefault:canyon()@408;default:karst_sinkholes()@506;kwdefault:meander_belt()@322	750;5;7.5	diverge
GALLERY.md	87	plate_uplift	413	—	—	—	chapter_only
GALLERY.md	155	H	3	noise.py	default:ridged_mf()@186;default:hybrid_mf()@205	1;0.25	diverge
GALLERY.md	264	glacier_sia	5	—	—	—	chapter_only
README.md	102	c	0.25	capability_grid.py	module-const@288	60	diverge
README.md	102	D	0	erosion_streampower.py	default:stream_power_evolve()@63	0	agree
README.md	111	omega0	0	noise.py	kwdefault:gabor()@247	0	agree
SIMULATION-AUDIT.md	113	L	1200	crater.py,crater_demo.py	kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46	100;100	diverge
SIMULATION-AUDIT.md	121	L	52	crater.py,crater_demo.py	kwdefault:stamp_impact()@83;kwdefault:stamp_impact_natural()@46	100;100	diverge
01-noise.md	115	j1	0	01-noise.md	j1@114	1	chapter_vs_chapter
01-noise.md	120	n	0	03-flow-routing.md	n@854	0.03	chapter_vs_chapter
01-noise.md	120	n	0	01-noise.md	n@342	1	chapter_vs_chapter
01-noise.md	120	n	0	12-glacial-coastal.md	n@66	3	chapter_vs_chapter
01-noise.md	120	n	0	28-liquids.md	n@307	589	chapter_vs_chapter
03-flow-routing.md	854	n	0.03	01-noise.md	n@342	1	chapter_vs_chapter
03-flow-routing.md	854	n	0.03	12-glacial-coastal.md	n@66	3	chapter_vs_chapter
03-flow-routing.md	854	n	0.03	28-liquids.md	n@307	589	chapter_vs_chapter
01-noise.md	342	n	1	12-glacial-coastal.md	n@66	3	chapter_vs_chapter
01-noise.md	342	n	1	28-liquids.md	n@307	589	chapter_vs_chapter
12-glacial-coastal.md	66	n	3	28-liquids.md	n@307	589	chapter_vs_chapter
01-noise.md	299	gain	0.5	01-noise.md	gain@354	2	chapter_vs_chapter
01-noise.md	340	amp	0.5	01-noise.md	amp@300	1	chapter_vs_chapter
01-noise.md	383	offset	0.7	01-noise.md	offset@354	1	chapter_vs_chapter
12-glacial-coastal.md	112	H	0	01-noise.md	H@383	0.25	chapter_vs_chapter
12-glacial-coastal.md	112	H	0	01-noise.md	H@354	1	chapter_vs_chapter
12-glacial-coastal.md	112	H	0	docstring:glacier.py	H@42	12	chapter_vs_chapter
12-glacial-coastal.md	112	H	0	00-index.md	H@428	3	chapter_vs_chapter
12-glacial-coastal.md	112	H	0	26-hexagonal-grids.md	H@773	6	chapter_vs_chapter
01-noise.md	383	H	0.25	01-noise.md	H@354	1	chapter_vs_chapter
01-noise.md	383	H	0.25	docstring:glacier.py	H@42	12	chapter_vs_chapter
01-noise.md	383	H	0.25	00-index.md	H@428	3	chapter_vs_chapter
01-noise.md	383	H	0.25	26-hexagonal-grids.md	H@773	6	chapter_vs_chapter
01-noise.md	354	H	1	docstring:glacier.py	H@42	12	chapter_vs_chapter
01-noise.md	354	H	1	00-index.md	H@428	3	chapter_vs_chapter
01-noise.md	354	H	1	26-hexagonal-grids.md	H@773	6	chapter_vs_chapter
docstring:glacier.py	42	H	12	00-index.md	H@428	3	chapter_vs_chapter
docstring:glacier.py	42	H	12	26-hexagonal-grids.md	H@773	6	chapter_vs_chapter
00-index.md	428	H	3	26-hexagonal-grids.md	H@773	6	chapter_vs_chapter
03-flow-routing.md	187	r	0	12-glacial-coastal.md	r@1207	0.1	chapter_vs_chapter
03-flow-routing.md	187	r	0	10-primitives-ops-filters.md	r@421	1	chapter_vs_chapter
03-flow-routing.md	187	r	0	02-macro-tectonics.md	r@198	5	chapter_vs_chapter
03-flow-routing.md	187	r	0	26-hexagonal-grids.md	r@486	60	chapter_vs_chapter
